seed,k,discriminant,is_perfect_square,quality_score,leg_3,leg_5,leg_7,mod_2,mod_5,has_favorable_residues,is_prime
10,0,64,1,-100,1,1,1,1,3,1,0
11,0,85,0,-5,1,0,1,1,3,1,0
12,0,108,0,-5,0,-1,-1,1,3,1,0
13,0,133,0,-7,1,-1,0,1,3,1,0
14,0,160,0,-5,1,0,-1,1,3,1,0
15,0,189,0,-9,0,1,0,1,3,1,1
16,0,220,0,-11,1,0,-1,1,3,1,0
17,0,253,0,-5,1,-1,1,1,3,1,0
18,0,288,0,-3,0,-1,1,1,3,1,1
19,0,325,0,-9,1,0,-1,1,3,1,0
20,0,364,0,-13,1,1,0,1,3,1,0
21,0,405,0,-9,0,0,-1,1,3,1,1
22,0,448,0,-3,1,-1,0,1,3,1,0
23,0,493,0,-1,1,-1,-1,1,3,1,0
24,0,540,0,-11,0,0,1,1,3,1,1
25,0,589,0,-3,1,1,1,1,3,1,0
26,0,640,0,-5,1,0,-1,1,3,1,0
27,0,693,0,-15,0,-1,0,1,3,1,1
28,0,748,0,-3,1,-1,-1,1,3,1,0
29,0,805,0,-11,1,0,0,1,3,1,1
30,0,864,0,-3,0,1,-1,1,3,1,1
31,0,925,0,-7,1,0,1,1,3,1,0
32,0,988,0,-7,1,-1,1,1,3,1,1
33,0,1053,0,-7,0,-1,-1,1,3,1,0
34,0,1120,0,-11,1,0,0,1,3,1,0
35,0,1189,0,-1,1,1,-1,1,3,1,0
36,0,1260,0,-15,0,0,0,1,3,1,0
37,0,1333,0,3,1,-1,-1,1,3,1,0
38,0,1408,0,-7,1,-1,1,1,3,1,0
39,0,1485,0,-17,0,0,1,1,3,1,0
40,0,1564,0,-1,1,1,-1,1,3,1,0
41,0,1645,0,-9,1,0,0,1,3,1,1
42,0,1728,0,-5,0,-1,-1,1,3,1,0
43,0,1813,0,-5,1,-1,0,1,3,1,0
44,0,1900,0,-3,1,0,-1,1,3,1,0
45,0,1989,0,-13,0,1,1,1,3,1,0
46,0,2080,0,-13,1,0,1,1,3,1,0
47,0,2173,0,3,1,-1,-1,1,3,1,0
48,0,2268,0,-7,0,-1,0,1,3,1,0
49,0,2365,0,-11,1,0,-1,1,3,1,0
50,0,2464,0,-11,1,1,0,1,3,1,0
51,0,2565,0,-9,0,0,-1,1,3,1,0
52,0,2668,0,-1,1,-1,1,1,3,1,0
53,0,2773,0,-3,1,-1,1,1,3,1,1
54,0,2880,0,-9,0,0,-1,1,3,1,0
55,0,2989,0,-7,1,1,0,1,3,1,0
56,0,3100,0,-5,1,0,-1,1,3,1,1
57,0,3213,0,-9,0,-1,0,1,3,1,1
58,0,3328,0,-3,1,-1,-1,1,3,1,0
59,0,3445,0,-11,1,0,1,1,3,1,0
60,0,3564,0,-11,0,1,1,1,3,1,0
61,0,3685,0,-9,1,0,-1,1,3,1,0
62,0,3808,0,-5,1,-1,0,1,3,1,0
63,0,3933,0,-1,0,-1,-1,1,3,1,1
64,0,4060,0,-13,1,0,0,1,3,1,0
65,0,4189,0,-3,1,1,-1,1,3,1,1
66,0,4320,0,-11,0,0,1,1,3,1,0
67,0,4453,0,-1,1,-1,1,1,3,1,0
68,0,4588,0,-1,1,-1,-1,1,3,1,0
69,0,4725,0,-13,0,0,0,1,3,1,0
70,0,4864,0,1,1,1,-1,1,3,1,0
71,0,5005,0,-21,1,0,0,1,3,1,1
72,0,5148,0,-13,0,-1,-1,1,3,1,0
73,0,5293,0,1,1,-1,1,1,3,1,0
74,0,5440,0,-5,1,0,1,1,3,1,0
75,0,5589,0,-7,0,1,-1,1,3,1,0
76,0,5740,0,-11,1,0,0,1,3,1,0
77,0,5893,0,1,1,-1,-1,1,3,1,0
78,0,6048,0,-11,0,-1,0,1,3,1,1
79,0,6205,0,-7,1,0,-1,1,3,1,0
80,0,6364,0,-1,1,1,1,1,3,1,0
81,0,6525,0,-11,0,0,1,1,3,1,0
82,0,6688,0,-3,1,-1,-1,1,3,1,0
83,0,6853,0,-9,1,-1,0,1,3,1,0
84,0,7020,0,-13,0,0,-1,1,3,1,0
85,0,7189,0,-11,1,1,0,1,3,1,0
86,0,7360,0,-5,1,0,-1,1,3,1,0
87,0,7533,0,-5,0,-1,1,1,3,1,0
88,0,7708,0,-1,1,-1,1,1,3,1,0
89,0,7885,0,-5,1,0,-1,1,3,1,0
90,0,8064,0,-13,0,1,0,1,3,1,1
91,0,8245,0,-5,1,0,-1,1,3,1,0
92,0,8428,0,-5,1,-1,0,1,3,1,1
93,0,8613,0,-7,0,-1,-1,1,3,1,0
94,0,8800,0,-13,1,0,1,1,3,1,0
95,0,8989,0,-1,1,1,1,1,3,1,1
96,0,9180,0,-7,0,0,-1,1,3,1,0
97,0,9373,0,-11,1,-1,0,1,3,1,0
98,0,9568,0,-5,1,-1,-1,1,3,1,0
99,0,9765,0,-13,0,0,0,1,3,1,0
10,1,64,1,-100,1,1,1,1,3,1,0
11,1,85,0,-5,1,0,1,1,3,1,0
12,1,108,0,-5,0,-1,-1,1,3,1,0
13,1,133,0,-7,1,-1,0,1,3,1,0
14,1,160,0,-5,1,0,-1,1,3,1,0
15,1,189,0,-9,0,1,0,1,3,1,0
16,1,220,0,-11,1,0,-1,1,3,1,0
17,1,253,0,-5,1,-1,1,1,3,1,0
18,1,288,0,-3,0,-1,1,1,3,1,0
19,1,325,0,-9,1,0,-1,1,3,1,0
20,1,364,0,-13,1,1,0,1,3,1,0
21,1,405,0,-9,0,0,-1,1,3,1,0
22,1,448,0,-3,1,-1,0,1,3,1,0
23,1,493,0,-1,1,-1,-1,1,3,1,0
24,1,540,0,-11,0,0,1,1,3,1,0
25,1,589,0,-3,1,1,1,1,3,1,0
26,1,640,0,-5,1,0,-1,1,3,1,0
27,1,693,0,-15,0,-1,0,1,3,1,0
28,1,748,0,-3,1,-1,-1,1,3,1,0
29,1,805,0,-11,1,0,0,1,3,1,1
30,1,864,0,-3,0,1,-1,1,3,1,0
31,1,925,0,-7,1,0,1,1,3,1,0
32,1,988,0,-7,1,-1,1,1,3,1,0
33,1,1053,0,-7,0,-1,-1,1,3,1,0
34,1,1120,0,-11,1,0,0,1,3,1,0
35,1,1189,0,-1,1,1,-1,1,3,1,0
36,1,1260,0,-15,0,0,0,1,3,1,0
37,1,1333,0,3,1,-1,-1,1,3,1,0
38,1,1408,0,-7,1,-1,1,1,3,1,0
39,1,1485,0,-17,0,0,1,1,3,1,1
40,1,1564,0,-1,1,1,-1,1,3,1,0
41,1,1645,0,-9,1,0,0,1,3,1,0
42,1,1728,0,-5,0,-1,-1,1,3,1,0
43,1,1813,0,-5,1,-1,0,1,3,1,0
44,1,1900,0,-3,1,0,-1,1,3,1,0
45,1,1989,0,-13,0,1,1,1,3,1,0
46,1,2080,0,-13,1,0,1,1,3,1,0
47,1,2173,0,3,1,-1,-1,1,3,1,0
48,1,2268,0,-7,0,-1,0,1,3,1,0
49,1,2365,0,-11,1,0,-1,1,3,1,0
50,1,2464,0,-11,1,1,0,1,3,1,1
51,1,2565,0,-9,0,0,-1,1,3,1,0
52,1,2668,0,-1,1,-1,1,1,3,1,0
53,1,2773,0,-3,1,-1,1,1,3,1,0
54,1,2880,0,-9,0,0,-1,1,3,1,1
55,1,2989,0,-7,1,1,0,1,3,1,0
56,1,3100,0,-5,1,0,-1,1,3,1,0
57,1,3213,0,-9,0,-1,0,1,3,1,0
58,1,3328,0,-3,1,-1,-1,1,3,1,0
59,1,3445,0,-11,1,0,1,1,3,1,0
60,1,3564,0,-11,0,1,1,1,3,1,1
61,1,3685,0,-9,1,0,-1,1,3,1,0
62,1,3808,0,-5,1,-1,0,1,3,1,0
63,1,3933,0,-1,0,-1,-1,1,3,1,0
64,1,4060,0,-13,1,0,0,1,3,1,0
65,1,4189,0,-3,1,1,-1,1,3,1,0
66,1,4320,0,-11,0,0,1,1,3,1,0
67,1,4453,0,-1,1,-1,1,1,3,1,0
68,1,4588,0,-1,1,-1,-1,1,3,1,0
69,1,4725,0,-13,0,0,0,1,3,1,0
70,1,4864,0,1,1,1,-1,1,3,1,0
71,1,5005,0,-21,1,0,0,1,3,1,0
72,1,5148,0,-13,0,-1,-1,1,3,1,0
73,1,5293,0,1,1,-1,1,1,3,1,0
74,1,5440,0,-5,1,0,1,1,3,1,0
75,1,5589,0,-7,0,1,-1,1,3,1,1
76,1,5740,0,-11,1,0,0,1,3,1,0
77,1,5893,0,1,1,-1,-1,1,3,1,0
78,1,6048,0,-11,0,-1,0,1,3,1,0
79,1,6205,0,-7,1,0,-1,1,3,1,0
80,1,6364,0,-1,1,1,1,1,3,1,0
81,1,6525,0,-11,0,0,1,1,3,1,0
82,1,6688,0,-3,1,-1,-1,1,3,1,0
83,1,6853,0,-9,1,-1,0,1,3,1,0
84,1,7020,0,-13,0,0,-1,1,3,1,0
85,1,7189,0,-11,1,1,0,1,3,1,0
86,1,7360,0,-5,1,0,-1,1,3,1,0
87,1,7533,0,-5,0,-1,1,1,3,1,0
88,1,7708,0,-1,1,-1,1,1,3,1,0
89,1,7885,0,-5,1,0,-1,1,3,1,1
90,1,8064,0,-13,0,1,0,1,3,1,0
91,1,8245,0,-5,1,0,-1,1,3,1,0
92,1,8428,0,-5,1,-1,0,1,3,1,0
93,1,8613,0,-7,0,-1,-1,1,3,1,1
94,1,8800,0,-13,1,0,1,1,3,1,0
95,1,8989,0,-1,1,1,1,1,3,1,0
96,1,9180,0,-7,0,0,-1,1,3,1,1
97,1,9373,0,-11,1,-1,0,1,3,1,0
98,1,9568,0,-5,1,-1,-1,1,3,1,0
99,1,9765,0,-13,0,0,0,1,3,1,0
