base,M,outer,inner,k,seed,seed_digits,membrane_digits,discriminant,is_perfect_square,sqrt_disc,disc_mod_base,disc_mod_3,disc_mod_5,disc_mod_7,qr_3,qr_5,qr_7,qr_11,qr_positive_count,goldbach_pairs,goldbach_lambda,goldbach_coverage,is_prime,membrane_value
10,2,3,7,0,10,2,6,64,true,8,4,1,4,1,1,1,1,1,4,2,1.660190,0.809897,false,371073
10,2,3,7,0,11,2,6,85,false,-1,5,1,0,1,1,0,1,-1,2,0,0.000000,0.000000,false,371173
10,2,3,7,0,12,2,6,108,false,-1,8,0,3,3,0,-1,-1,1,1,1,2.565910,0.923151,false,371273
10,2,3,7,0,13,2,6,133,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,371373
10,2,3,7,0,14,2,6,160,false,-1,0,1,0,6,1,0,-1,-1,1,2,1.592436,0.796571,false,371473
10,2,3,7,0,15,2,6,189,false,-1,9,0,4,0,0,1,0,-1,1,0,0.000000,0.000000,true,371573
10,2,3,7,0,16,2,6,220,false,-1,0,1,0,3,1,0,-1,0,1,2,1.374040,0.746918,false,371673
10,2,3,7,0,17,2,6,253,false,-1,3,1,3,1,1,-1,1,0,2,0,0.000000,0.000000,false,371773
10,2,3,7,0,18,2,6,288,false,-1,8,0,3,1,0,-1,1,-1,1,2,2.844759,0.941852,true,371873
10,2,3,7,0,19,2,6,325,false,-1,5,1,0,3,1,0,-1,-1,1,0,0.000000,0.000000,false,371973
10,2,3,7,0,20,2,6,364,false,-1,4,1,4,0,1,1,0,1,3,2,1.961612,0.859368,false,372073
10,2,3,7,0,21,2,6,405,false,-1,5,0,0,6,0,0,-1,1,1,0,0.000000,0.000000,true,372173
10,2,3,7,0,22,2,6,448,false,-1,8,1,3,0,1,-1,0,-1,1,3,1.688965,0.815289,false,372273
10,2,3,7,0,23,2,6,493,false,-1,3,1,3,3,1,-1,-1,1,2,0,0.000000,0.000000,false,372373
10,2,3,7,0,24,2,6,540,false,-1,0,0,0,1,0,0,1,1,2,3,3.137395,0.956604,true,372473
10,2,3,7,0,25,2,6,589,false,-1,9,1,4,1,1,1,1,-1,3,0,0.000000,0.000000,false,372573
10,2,3,7,0,26,2,6,640,false,-1,0,1,0,3,1,0,-1,-1,1,3,1.763942,0.828632,false,372673
10,2,3,7,0,27,2,6,693,false,-1,3,0,3,0,0,-1,0,0,0,0,0.000000,0.000000,true,372773
10,2,3,7,0,28,2,6,748,false,-1,8,1,3,6,1,-1,-1,0,1,2,1.997682,0.864351,false,372873
10,2,3,7,0,29,2,6,805,false,-1,5,1,0,0,1,0,0,-1,1,0,0.000000,0.000000,true,372973
10,2,3,7,0,30,2,6,864,false,-1,4,0,4,3,0,1,-1,-1,1,3,4.565378,0.989594,true,373073
10,2,3,7,0,31,2,6,925,false,-1,5,1,0,1,1,0,1,1,3,0,0.000000,0.000000,false,373173
10,2,3,7,0,32,2,6,988,false,-1,8,1,3,1,1,-1,1,1,3,2,1.758772,0.827744,true,373273
10,2,3,7,0,33,2,6,1053,false,-1,3,0,3,3,0,-1,-1,-1,0,0,0.000000,0.000000,false,373373
10,2,3,7,0,34,2,6,1120,false,-1,0,1,0,0,1,0,0,1,2,4,1.925328,0.854172,false,373473
10,2,3,7,0,35,2,6,1189,false,-1,9,1,4,6,1,1,-1,1,3,0,0.000000,0.000000,false,373573
10,2,3,7,0,36,2,6,1260,false,-1,0,0,0,0,0,0,0,-1,0,4,3.701378,0.975311,false,373673
10,2,3,7,0,37,2,6,1333,false,-1,3,1,3,3,1,-1,-1,-1,1,0,0.000000,0.000000,false,373773
10,2,3,7,0,38,2,6,1408,false,-1,8,1,3,1,1,-1,1,0,2,2,2.007387,0.865661,false,373873
10,2,3,7,0,39,2,6,1485,false,-1,5,0,0,1,0,0,1,0,1,0,0.000000,0.000000,false,373973
10,2,3,7,0,40,2,6,1564,false,-1,4,1,4,3,1,1,-1,-1,2,3,2.587380,0.924783,false,374073
10,2,3,7,0,41,2,6,1645,false,-1,5,1,0,0,1,0,0,-1,1,0,0.000000,0.000000,true,374173
10,2,3,7,0,42,2,6,1728,false,-1,8,0,3,6,0,-1,-1,1,1,4,4.763313,0.991463,false,374273
10,2,3,7,0,43,2,6,1813,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,374373
10,2,3,7,0,44,2,6,1900,false,-1,0,1,0,3,1,0,-1,-1,1,3,2.253797,0.895000,false,374473
10,2,3,7,0,45,2,6,1989,false,-1,9,0,4,1,0,1,1,1,3,0,0.000000,0.000000,false,374573
10,2,3,7,0,46,2,6,2080,false,-1,0,1,0,1,1,0,1,1,3,4,2.170312,0.885858,false,374673
10,2,3,7,0,47,2,6,2173,false,-1,3,1,3,3,1,-1,-1,-1,1,0,0.000000,0.000000,false,374773
10,2,3,7,0,48,2,6,2268,false,-1,8,0,3,0,0,-1,0,-1,0,5,4.228927,0.985432,false,374873
10,2,3,7,0,49,2,6,2365,false,-1,5,1,0,6,1,0,-1,0,1,0,0.000000,0.000000,false,374973
10,2,3,7,0,50,2,6,2464,false,-1,4,1,4,0,1,1,0,0,2,4,2.875785,0.943628,false,375073
10,2,3,7,0,51,2,6,2565,false,-1,5,0,0,3,0,0,-1,-1,0,0,0.000000,0.000000,false,375173
10,2,3,7,0,52,2,6,2668,false,-1,8,1,3,1,1,-1,1,-1,2,3,2.398693,0.909163,false,375273
10,2,3,7,0,53,2,6,2773,false,-1,3,1,3,1,1,-1,1,1,3,0,0.000000,0.000000,true,375373
10,2,3,7,0,54,2,6,2880,false,-1,0,0,0,3,0,0,-1,1,1,5,4.480738,0.988675,false,375473
10,2,3,7,0,55,2,6,2989,false,-1,9,1,4,0,1,1,0,-1,2,0,0.000000,0.000000,false,375573
10,2,3,7,0,56,2,6,3100,false,-1,0,1,0,6,1,0,-1,1,2,3,2.737865,0.935292,true,375673
10,2,3,7,0,57,2,6,3213,false,-1,3,0,3,0,0,-1,0,1,1,0,0.000000,0.000000,true,375773
10,2,3,7,0,58,2,6,3328,false,-1,8,1,3,3,1,-1,-1,-1,1,4,2.408384,0.910039,false,375873
10,2,3,7,0,59,2,6,3445,false,-1,5,1,0,1,1,0,1,-1,2,0,0.000000,0.000000,false,375973
10,2,3,7,0,60,2,6,3564,false,-1,4,0,4,1,0,1,1,0,2,6,6.300886,0.998165,false,376073
10,2,3,7,0,61,2,6,3685,false,-1,5,1,0,3,1,0,-1,0,1,0,0.000000,0.000000,false,376173
10,2,3,7,0,62,2,6,3808,false,-1,8,1,3,0,1,-1,0,-1,1,3,2.485811,0.916742,false,376273
10,2,3,7,0,63,2,6,3933,false,-1,3,0,3,6,0,-1,-1,-1,0,0,0.000000,0.000000,true,376373
10,2,3,7,0,64,2,6,4060,false,-1,0,1,0,0,1,0,0,1,2,5,2.442738,0.913077,false,376473
10,2,3,7,0,65,2,6,4189,false,-1,9,1,4,3,1,1,-1,1,3,0,0.000000,0.000000,true,376573
10,2,3,7,0,66,2,6,4320,false,-1,0,0,0,1,0,0,1,-1,1,6,5.516014,0.995978,false,376673
10,2,3,7,0,67,2,6,4453,false,-1,3,1,3,1,1,-1,1,1,3,0,0.000000,0.000000,false,376773
10,2,3,7,0,68,2,6,4588,false,-1,8,1,3,3,1,-1,-1,1,2,2,2.689456,0.932082,false,376873
10,2,3,7,0,69,2,6,4725,false,-1,5,0,0,0,0,0,0,-1,0,0,0.000000,0.000000,false,376973
10,2,3,7,0,70,2,6,4864,false,-1,4,1,4,6,1,1,-1,-1,2,5,4.096360,0.983367,false,377073
10,2,3,7,0,71,2,6,5005,false,-1,5,1,0,0,1,0,0,0,1,0,0.000000,0.000000,true,377173
10,2,3,7,0,72,2,6,5148,false,-1,8,0,3,3,0,-1,-1,0,0,6,5.197592,0.994470,false,377273
10,2,3,7,0,73,2,6,5293,false,-1,3,1,3,1,1,-1,1,-1,2,0,0.000000,0.000000,false,377373
10,2,3,7,0,74,2,6,5440,false,-1,0,1,0,1,1,0,1,-1,2,5,2.712432,0.933625,false,377473
10,2,3,7,0,75,2,6,5589,false,-1,9,0,4,3,0,1,-1,1,2,0,0.000000,0.000000,false,377573
10,2,3,7,0,76,2,6,5740,false,-1,0,1,0,0,1,0,0,1,2,5,2.832466,0.941132,false,377673
10,2,3,7,0,77,2,6,5893,false,-1,3,1,3,6,1,-1,-1,-1,1,0,0.000000,0.000000,false,377773
10,2,3,7,0,78,2,6,6048,false,-1,8,0,3,0,0,-1,0,1,1,7,5.918975,0.997312,true,377873
10,2,3,7,0,79,2,6,6205,false,-1,5,1,0,3,1,0,-1,1,2,0,0.000000,0.000000,false,377973
10,2,3,7,0,80,2,6,6364,false,-1,4,1,4,1,1,1,1,-1,3,4,3.667154,0.974451,false,378073
10,2,3,7,0,81,2,6,6525,false,-1,5,0,0,1,0,0,1,-1,1,0,0.000000,0.000000,false,378173
10,2,3,7,0,82,2,6,6688,false,-1,8,1,3,3,1,-1,-1,0,1,5,2.859097,0.942679,false,378273
10,2,3,7,0,83,2,6,6853,false,-1,3,1,3,0,1,-1,0,0,1,0,0.000000,0.000000,false,378373
10,2,3,7,0,84,2,6,7020,false,-1,0,0,0,6,0,0,-1,-1,0,8,6.779120,0.998863,false,378473
10,2,3,7,0,85,2,6,7189,false,-1,9,1,4,0,1,1,0,-1,2,0,0.000000,0.000000,false,378573
10,2,3,7,0,86,2,6,7360,false,-1,0,1,0,3,1,0,-1,1,2,5,2.931205,0.946667,false,378673
10,2,3,7,0,87,2,6,7533,false,-1,3,0,3,1,0,-1,1,1,2,0,0.000000,0.000000,false,378773
10,2,3,7,0,88,2,6,7708,false,-1,8,1,3,1,1,-1,1,-1,2,4,3.219964,0.960044,false,378873
10,2,3,7,0,89,2,6,7885,false,-1,5,1,0,3,1,0,-1,1,2,0,0.000000,0.000000,false,378973
10,2,3,7,0,90,2,6,8064,false,-1,4,0,4,0,0,1,0,1,2,9,7.824802,0.999600,true,379073
