space_size,prime_yield
1,2
2,3
3,8
4,5
5,8
6,5
7,4
8,10
9,12
10,9
11,16
12,8
13,8
14,6
15,8
16,6
17,5
18,4
19,12
20,4
21,14
22,8
23,10
24,5
25,7
26,9
27,8
28,1
29,11
30,9
31,9
32,9
33,9
34,6
35,6
36,5
37,9
38,8
39,8
40,8
41,9
42,9
43,10
44,8
45,6
46,9
47,9
48,11
49,7
50,8
51,8
52,10
53,8
54,7
55,14
56,9
57,9
58,10
59,7
60,7
61,6
62,10
63,7
64,6
65,8
66,8
67,8
68,10
69,7
70,8
71,8
72,8
73,10
74,11
75,8
76,8
77,10
78,13
79,12
80,4
81,6
82,12
83,9
84,10
85,6
86,10
87,10
88,6
89,6
90,13
91,11
92,11
93,8
94,6
95,10
96,16
97,9
98,5
99,6
100,8
