label,sample_size,mod3_r0,mod3_r1,mod3_r2,mod7_r0,mod7_r1,mod7_r2,mod7_r3,mod7_r4,mod7_r5,mod7_r6,mod11_r0,mod11_r1,mod11_r2,mod11_r3,mod11_r4,mod11_r5,mod11_r6,mod11_r7,mod11_r8,mod11_r9,mod11_r10,mod13_r0,mod13_r1,mod13_r2,mod13_r3,mod13_r4,mod13_r5,mod13_r6,mod13_r7,mod13_r8,mod13_r9,mod13_r10,mod13_r11,mod13_r12,mod17_r0,mod17_r1,mod17_r2,mod17_r3,mod17_r4,mod17_r5,mod17_r6,mod17_r7,mod17_r8,mod17_r9,mod17_r10,mod17_r11,mod17_r12,mod17_r13,mod17_r14,mod17_r15,mod17_r16,mod19_r0,mod19_r1,mod19_r2,mod19_r3,mod19_r4,mod19_r5,mod19_r6,mod19_r7,mod19_r8,mod19_r9,mod19_r10,mod19_r11,mod19_r12,mod19_r13,mod19_r14,mod19_r15,mod19_r16,mod19_r17,mod19_r18,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9,zero_fraction,digit_entropy,palindrome_rate,mean_digit_count,var_digit_count,zero_three_only_rate,zero_six_only_rate,hl_modular_divergence,hl_coverage_deviation,gap_mod3_mean,gap_mod3_var,gap_mod3_small_excess,gap_mod3_large_excess,gap_mod7_mean,gap_mod7_var,gap_mod7_small_excess,gap_mod7_large_excess,gap_mod11_mean,gap_mod11_var,gap_mod11_small_excess,gap_mod11_large_excess,gap_mod13_mean,gap_mod13_var,gap_mod13_small_excess,gap_mod13_large_excess,gap_mod17_mean,gap_mod17_var,gap_mod17_small_excess,gap_mod17_large_excess,gap_mod19_mean,gap_mod19_var,gap_mod19_small_excess,gap_mod19_large_excess
membrane_b6_(1_5)_k(0_0),10,0,1,0,0,0.3,0,0.1,0.3,0,0.3,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0.2,0.1,0,0.1,0.1,0.2,0,0.1,0,0.1,0,0.1,0.1,0.2,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0.1,0.2,0.2,0,0,0,0.1,0,0,0,0.1,0,0.2,0,0.02040816326530612,0.30612244897959184,0.061224489795918366,0.10204081632653061,0.08163265306122448,0.22448979591836735,0.02040816326530612,0.061224489795918366,0.08163265306122448,0.04081632653061224,0.02040816326530612,2.8437604110968038,0,4.9,0.08999999999999997,0,0,12.333333333333334,10.282666955670825,0,0,0,0,1.6666666666666667,0.2222222222222222,0,0,1.2857142857142858,0.489795918367347,0,0.14285714285714285,1.4285714285714286,0.24489795918367346,0,0,1.625,0.484375,0,0,2.5,1.5833333333333333,0.3333333333333333,0
membrane_b6_(1_5)_k(1_1),10,0,1,0,0,0.1,0.2,0.2,0.1,0.2,0.2,0,0.1,0.2,0,0.1,0,0.1,0.2,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.1,0,0,0,0.2,0.1,0,0,0,0.2,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0,0,0.2,0.1,0,0.0375,0.2125,0.05,0.075,0.0625,0.0375,0.1,0.1,0.125,0.2,0.0375,3.0802363482221113,0,8,0,0,0,10.466666666666667,17.420680743952367,0,0,0,0,1,0,0,0,1.2857142857142858,0.20408163265306126,0,0,1.4285714285714286,1.1020408163265303,0,0.14285714285714285,2,1.1428571428571428,0,0,1.875,0.859375,0,0
membrane_b10_(3_7)_k(0_0),10,0,0.4,0.6,0,0.1,0.1,0.1,0.2,0.3,0.2,0,0,0.1,0,0.1,0.2,0,0.2,0.2,0,0.2,0,0,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0.1,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.017241379310344827,0.05172413793103448,0.10344827586206896,0.3793103448275862,0.017241379310344827,0.034482758620689655,0,0.3620689655172414,0.017241379310344827,0.017241379310344827,0.017241379310344827,2.192277133147143,0.2,5.8,0.15999999999999998,0,0,8.533333333333333,12.354993539365463,1,0,0,0,1,0,0,0,1.6,0.24,0,0,1.25,0.4375,0,0.125,2,2,0,0,1.8888888888888888,0.3209876543209877,0,0
membrane_b10_(3_7)_k(2_1),10,0,0.5,0.5,0,0,0.2,0.2,0.3,0.1,0.2,0,0.2,0.1,0.1,0.1,0.2,0,0,0,0.2,0.1,0,0.1,0,0.1,0.2,0,0.2,0,0.1,0,0,0.2,0.1,0,0,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0,0.2,0,0.1,0,0,0,0,0.1,0,0.2,0,0.1,0.2,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.5166666666666667,0.016666666666666666,0.03333333333333333,0.19166666666666668,0.025,0.016666666666666666,0,0.175,0.016666666666666666,0.008333333333333333,0.5166666666666667,2.0385935154933934,0,12,0,0,0,9.866666666666667,26.631021115928547,1,0,0,0,1,0,0,0,1.5,1.25,0,0.16666666666666666,1.8333333333333333,0.47222222222222227,0,0,1.7142857142857142,1.0612244897959182,0,0.14285714285714285,2.2857142857142856,1.6326530612244896,0.2857142857142857,0.14285714285714285
membrane_b30_(11_7)_k(0_0),10,0,1,0,0,0.3,0,0.3,0,0.1,0.3,0,0.1,0,0,0.1,0.4,0.3,0,0.1,0,0,0,0.2,0.1,0,0,0.2,0,0.1,0,0.1,0,0,0.3,0,0.1,0.1,0.2,0,0,0,0,0.1,0,0.1,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0,0.2,0.1,0.1,0,0.2,0,0,0.1,0,0,0.1,0,0.14414414414414414,0.17117117117117117,0.11711711711711711,0.2072072072072072,0.009009009009009009,0.05405405405405406,0.04504504504504504,0.14414414414414414,0.06306306306306306,0.04504504504504504,0.14414414414414414,3.017489699789949,0,11.1,0.6899999999999998,0,0,16.766666666666666,24.558694532233908,0,0,0,0,1.6666666666666667,0.2222222222222222,0,0,1.75,0.6875,0,0,2.2,0.5599999999999999,0.2,0,1.8571428571428572,1.836734693877551,0,0.14285714285714285,2,0.6666666666666666,0,0
membrane_b14_(1_5)_k(0_0),10,0,0.5,0.5,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0,0.2,0.2,0,0.1,0.1,0,0,0,0.4,0.3,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.2,0,0.1,0,0,0.1,0,0,0.1,0.3,0,0,0,0,0,0,0.2,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.2,0.1,0.1,0,0.11290322580645161,0.12903225806451613,0.03225806451612903,0.2903225806451613,0.03225806451612903,0.04838709677419355,0.0967741935483871,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.11290322580645161,2.889771358846405,0,6.2,0.36,0,0,22.7,13.276027576563084,1,0,0,0,0,0,0,0,1.3333333333333333,0.22222222222222224,0,0,1.25,0.1875,0,0,1.8333333333333333,0.8055555555555557,0,0,2.142857142857143,2.4081632653061225,0.5714285714285714,0.14285714285714285
belphegor_outer1_pad13,10,0,0.4,0.6,0,0.1,0.1,0.2,0.2,0.4,0,0,0.1,0.2,0,0.1,0.2,0.2,0,0,0.1,0.1,0,0,0.2,0,0.2,0.1,0,0,0.1,0.1,0.1,0,0.2,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.2,0.2,0,0,0,0,0.3,0.1,0,0.2,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0.8529411764705882,0.09477124183006536,0.013071895424836602,0.0032679738562091504,0.006535947712418301,0.0032679738562091504,0.006535947712418301,0.013071895424836602,0.006535947712418301,0,0.8529411764705882,0.8777639408513466,0.2,30.6,0.44000000000000006,0,0,11.700000000000003,69.4591038456178,1,0,0,0,1,0,0,0,1.5,0.5833333333333334,0,0,1.6666666666666667,0.5555555555555556,0,0,1.7142857142857142,0.7755102040816327,0,0,2.8333333333333335,2.805555555555556,0.16666666666666666,0.16666666666666666
belphegor_outer1_pad7,10,0,0.8,0.2,0,0.4,0,0.1,0.1,0.2,0.2,0,0.2,0,0,0.2,0,0.1,0.1,0.1,0.1,0.2,0,0.1,0.1,0.3,0.1,0.1,0,0,0,0,0.2,0,0.1,0,0.1,0,0.2,0.1,0,0,0,0,0,0.1,0.1,0,0,0.2,0.2,0,0,0,0.1,0,0,0,0,0.1,0.2,0.2,0,0,0,0,0.1,0,0.1,0,0.2,0.7802197802197802,0.12637362637362637,0.016483516483516484,0,0.005494505494505495,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.016483516483516484,0.02197802197802198,0.7802197802197802,1.228586997543185,0.1,18.2,0.36000000000000004,0,0,12.866666666666667,40.90704869249163,1,0,0,0,1.25,0.1875,0,0,1.5,0.5833333333333334,0,0,1.8333333333333333,2.1388888888888893,0,0.16666666666666666,2.3333333333333335,3.222222222222222,0.5,0.16666666666666666,2.6666666666666665,2.888888888888889,0.3333333333333333,0
connector_10301_3007003007003_len5,10,0,0.7,0.3,0,0.3,0.2,0.1,0,0.1,0.3,0,0.1,0.1,0,0.2,0.3,0.1,0,0,0.2,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0.5608695652173913,0.1,0.02608695652173913,0.17391304347826086,0.013043478260869565,0.013043478260869565,0.013043478260869565,0.09130434782608696,0.004347826086956522,0.004347826086956522,0.5608695652173913,2.0047054069288235,0,23,0,0,0,10.233333333333333,51.95945713886305,1,0,0,0,1.25,0.1875,0,0,1.6,0.64,0,0,1.25,0.4375,0,0.125,2.4,2.2399999999999998,0.4,0.2,1.4444444444444444,0.2469135802469136,0,0
connector_10301_3007003007003_len7,10,0,0.5,0.5,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0.1,0.1,0.1,0.1,0,0.2,0.2,0.2,0,0,0.1,0.1,0,0,0.3,0,0.1,0,0.1,0,0.3,0,0,0.1,0,0,0,0,0.2,0.2,0,0,0.2,0.1,0,0.1,0,0.1,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0,0.2,0,0,0,0,0.1,0.3,0,0.592,0.104,0.004,0.168,0.012,0.008,0.004,0.092,0.004,0.012,0.592,1.8408260345216905,0,25,0,0,0,13.4,56.56462732485115,1,0,0,0,1,0,0,0,1.1666666666666667,0.13888888888888887,0,0,2,0.4,0,0,2.3333333333333335,1.888888888888889,0.3333333333333333,0.16666666666666666,2.6,2.24,0.4,0
