base,factorization,outer,inner,k_outer,k_inner,successes,total,success_rate,p_value
6,2×3,1,5,0,0,26,100,0.2600,0.0000
6,2×3,1,5,0,1,23,100,0.2300,0.0000
6,2×3,1,5,1,0,23,100,0.2300,0.0000
6,2×3,5,1,0,0,22,100,0.2200,0.0000
6,2×3,5,1,2,0,18,100,0.1800,0.0001
6,2×3,5,1,0,1,16,100,0.1600,0.0023
6,2×3,5,1,0,2,16,100,0.1600,0.0023
6,2×3,1,5,1,1,15,100,0.1500,0.0092
6,2×3,1,5,0,2,15,100,0.1500,0.0092
6,2×3,1,5,2,2,14,100,0.1400,0.0297
8,2×2×2,3,5,0,0,23,100,0.2300,0.0000
8,2×2×2,7,5,0,0,23,100,0.2300,0.0000
8,2×2×2,7,3,0,0,22,100,0.2200,0.0000
8,2×2×2,5,7,0,0,20,100,0.2000,0.0000
8,2×2×2,1,5,0,0,18,100,0.1800,0.0001
8,2×2×2,3,1,0,0,18,100,0.1800,0.0001
8,2×2×2,3,5,1,0,18,100,0.1800,0.0001
8,2×2×2,7,1,0,0,18,100,0.1800,0.0001
8,2×2×2,1,7,0,1,16,100,0.1600,0.0023
8,2×2×2,5,1,1,1,16,100,0.1600,0.0023
10,2×5,1,9,0,0,22,100,0.2200,0.0000
10,2×5,3,1,0,1,22,100,0.2200,0.0000
10,2×5,7,1,0,0,22,100,0.2200,0.0000
10,2×5,9,3,0,0,22,100,0.2200,0.0000
10,2×5,3,7,0,0,21,100,0.2100,0.0000
10,2×5,1,9,1,0,20,100,0.2000,0.0000
10,2×5,1,3,0,0,19,100,0.1900,0.0000
10,2×5,3,9,1,0,18,100,0.1800,0.0001
10,2×5,7,9,0,0,18,100,0.1800,0.0001
10,2×5,3,9,0,0,17,100,0.1700,0.0005
12,2×2×3,1,11,0,0,25,100,0.2500,0.0000
12,2×2×3,5,11,0,0,24,100,0.2400,0.0000
12,2×2×3,7,5,0,0,24,100,0.2400,0.0000
12,2×2×3,11,7,0,0,24,100,0.2400,0.0000
12,2×2×3,1,5,0,0,23,100,0.2300,0.0000
12,2×2×3,5,1,0,0,23,100,0.2300,0.0000
12,2×2×3,7,11,0,0,23,100,0.2300,0.0000
12,2×2×3,1,7,0,0,22,100,0.2200,0.0000
12,2×2×3,5,7,0,0,22,100,0.2200,0.0000
12,2×2×3,5,11,1,0,22,100,0.2200,0.0000
14,2×7,1,5,0,0,27,100,0.2700,0.0000
14,2×7,1,3,0,0,23,100,0.2300,0.0000
14,2×7,13,1,0,0,21,100,0.2100,0.0000
14,2×7,5,13,0,0,19,100,0.1900,0.0000
14,2×7,9,5,0,0,19,100,0.1900,0.0000
14,2×7,1,11,0,0,18,100,0.1800,0.0001
14,2×7,11,3,1,1,17,100,0.1700,0.0005
14,2×7,11,9,0,0,17,100,0.1700,0.0005
14,2×7,13,9,0,1,17,100,0.1700,0.0005
14,2×7,13,11,0,1,17,100,0.1700,0.0005
16,2×2×2×2,1,5,0,0,20,100,0.2000,0.0000
16,2×2×2×2,1,13,0,0,19,100,0.1900,0.0000
16,2×2×2×2,3,5,0,0,18,100,0.1800,0.0001
16,2×2×2×2,1,3,0,0,17,100,0.1700,0.0005
16,2×2×2×2,3,9,0,0,17,100,0.1700,0.0005
16,2×2×2×2,5,9,0,0,17,100,0.1700,0.0005
16,2×2×2×2,11,3,0,0,17,100,0.1700,0.0005
16,2×2×2×2,11,5,0,0,17,100,0.1700,0.0005
16,2×2×2×2,1,5,1,0,16,100,0.1600,0.0023
16,2×2×2×2,3,7,0,0,16,100,0.1600,0.0023
18,2×3×3,1,5,0,0,25,100,0.2500,0.0000
18,2×3×3,13,7,0,0,24,100,0.2400,0.0000
18,2×3×3,1,13,0,0,21,100,0.2100,0.0000
18,2×3×3,5,1,0,0,21,100,0.2100,0.0000
18,2×3×3,13,5,0,0,21,100,0.2100,0.0000
18,2×3×3,1,11,0,1,20,100,0.2000,0.0000
18,2×3×3,5,13,0,0,20,100,0.2000,0.0000
18,2×3×3,11,5,0,0,20,100,0.2000,0.0000
18,2×3×3,11,7,0,0,20,100,0.2000,0.0000
18,2×3×3,13,1,0,1,20,100,0.2000,0.0000
