space_size,prime_yield
1,2
2,3
3,5
4,10
5,5
6,4
7,4
8,6
9,10
10,7
11,7
12,8
13,7
14,11
15,8
16,13
17,8
18,10
19,8
20,10
21,6
22,9
23,3
24,6
25,11
26,8
27,8
28,11
29,10
30,11
31,7
32,13
33,8
34,7
35,10
36,8
37,11
38,8
39,9
40,17
41,7
42,9
43,10
44,10
45,9
46,15
47,8
48,8
49,6
50,12
51,7
52,4
53,10
54,14
55,8
56,4
57,12
58,6
59,5
60,14
61,11
62,11
63,9
64,13
65,8
66,12
67,9
68,11
69,16
70,4
71,8
72,6
73,12
74,5
75,5
76,4
77,14
78,11
79,9
80,11
81,12
82,10
83,10
84,11
85,7
86,11
87,4
88,7
89,10
90,6
91,7
92,13
93,9
94,12
95,10
96,9
97,9
98,8
99,9
100,11
