base,outer,inner,k_outer,k_inner,samples,successes,percentage,is_coprime
3,1,2,0,0,1000,181,18.10,true
3,1,2,0,1,1000,159,15.90,true
3,1,2,1,0,1000,157,15.70,true
3,1,2,1,1,1000,131,13.10,true
3,1,2,2,2,1000,114,11.40,true
3,2,1,0,0,1000,184,18.40,true
3,2,1,0,1,1000,161,16.10,true
3,2,1,1,0,1000,158,15.80,true
3,2,1,1,1,1000,138,13.80,true
3,2,1,2,2,1000,115,11.50,true
4,1,2,0,0,1000,222,22.20,false
4,1,2,0,1,1000,192,19.20,false
4,1,2,1,0,1000,191,19.10,false
4,1,2,1,1,1000,164,16.40,false
4,1,2,2,2,1000,116,11.60,false
4,1,3,0,0,1000,230,23.00,true
4,1,3,0,1,1000,189,18.90,true
4,1,3,1,0,1000,193,19.30,true
4,1,3,1,1,1000,166,16.60,true
4,1,3,2,2,1000,119,11.90,true
4,2,1,0,0,1000,0,0.00,false
4,2,1,0,1,1000,0,0.00,false
4,2,1,1,0,1000,0,0.00,false
4,2,1,1,1,1000,0,0.00,false
4,2,1,2,2,1000,0,0.00,false
4,2,3,0,0,1000,0,0.00,false
4,2,3,0,1,1000,0,0.00,false
4,2,3,1,0,1000,0,0.00,false
4,2,3,1,1,1000,0,0.00,false
4,2,3,2,2,1000,0,0.00,false
4,3,1,0,0,1000,226,22.60,true
4,3,1,0,1,1000,191,19.10,true
4,3,1,1,0,1000,185,18.50,true
4,3,1,1,1,1000,147,14.70,true
4,3,1,2,2,1000,118,11.80,true
4,3,2,0,0,1000,225,22.50,false
4,3,2,0,1,1000,195,19.50,false
4,3,2,1,0,1000,195,19.50,false
4,3,2,1,1,1000,151,15.10,false
4,3,2,2,2,1000,114,11.40,false
5,1,2,0,0,1000,130,13.00,true
5,1,2,0,1,1000,107,10.70,true
5,1,2,1,0,1000,120,12.00,true
5,1,2,1,1,1000,97,9.70,true
5,1,2,2,2,1000,66,6.60,true
5,1,3,0,0,1000,133,13.30,true
5,1,3,0,1,1000,115,11.50,true
5,1,3,1,0,1000,107,10.70,true
5,1,3,1,1,1000,94,9.40,true
5,1,3,2,2,1000,69,6.90,true
5,1,4,0,0,1000,137,13.70,true
5,1,4,0,1,1000,109,10.90,true
5,1,4,1,0,1000,107,10.70,true
5,1,4,1,1,1000,97,9.70,true
5,1,4,2,2,1000,74,7.40,true
5,2,1,0,0,1000,135,13.50,true
5,2,1,0,1,1000,116,11.60,true
5,2,1,1,0,1000,109,10.90,true
5,2,1,1,1,1000,96,9.60,true
5,2,1,2,2,1000,65,6.50,true
5,2,3,0,0,1000,133,13.30,true
