base,k,low,high,mid,ln_mid,target,w_min,window,prime_count,density,theory_density,w_pred,ratio_w_over_pred,zscore
6,1,1,5,3,1.098612289,8,16,32,8,0.250000000,0.910239227,4.394449155,3.640957,-3.914700
6,1,1,5,3,1.098612289,16,50,100,16,0.160000000,0.910239227,8.788898309,5.688995,-7.863611
6,1,1,5,3,1.098612289,32,128,256,32,0.125000000,0.910239227,17.577796619,7.281914,-13.168739
6,2,6,35,20,2.995732274,8,13,26,8,0.307692308,0.333808201,11.982929094,1.084877,-0.230485
6,2,6,35,20,2.995732274,16,33,66,16,0.242424242,0.333808201,23.965858188,1.376959,-1.284971
6,2,6,35,20,2.995732274,32,111,222,32,0.144144144,0.333808201,47.931716377,2.315794,-4.891173
6,3,36,215,125,4.828313737,8,22,44,8,0.181818182,0.207111645,19.313254949,1.139114,-0.368665
6,3,36,215,125,4.828313737,16,42,84,17,0.202380952,0.207111645,38.626509898,1.087336,-0.095271
6,3,36,215,125,4.828313737,32,78,156,32,0.205128205,0.207111645,77.253019797,1.009669,-0.054435
6,4,216,1295,755,6.626717749,8,22,44,8,0.181818182,0.150904269,26.506870997,0.829973,0.527873
6,4,216,1295,755,6.626717749,16,56,112,16,0.142857143,0.150904269,53.013741994,1.056330,-0.219230
6,4,216,1295,755,6.626717749,32,108,216,33,0.152777778,0.150904269,106.027483988,1.018604,0.070881
6,5,1296,7775,4535,8.419580363,8,28,56,8,0.142857143,0.118770765,33.678321450,0.831395,0.523011
6,5,1296,7775,4535,8.419580363,16,68,136,16,0.117647059,0.118770765,67.356642900,1.009552,-0.038025
6,5,1296,7775,4535,8.419580363,32,128,256,32,0.125000000,0.118770765,134.713285801,0.950166,0.289201
6,6,7776,46655,27215,10.211523571,8,44,88,8,0.090909091,0.097928580,40.846094283,1.077214,-0.210422
6,6,7776,46655,27215,10.211523571,16,106,212,16,0.075471698,0.097928580,81.692188567,1.297554,-1.044871
6,6,7776,46655,27215,10.211523571,32,192,384,32,0.083333333,0.097928580,163.384377134,1.175143,-0.913950
6,7,46656,279935,163295,12.003313660,8,52,104,8,0.076923077,0.083310328,48.013254640,1.083034,-0.225674
6,7,46656,279935,163295,12.003313660,16,102,204,16,0.078431373,0.083310328,96.026509280,1.062207,-0.241431
6,7,46656,279935,163295,12.003313660,32,186,372,33,0.088709677,0.083310328,192.053018560,0.968483,0.360797
6,8,279936,1679615,979775,13.795078232,8,66,132,8,0.060606061,0.072489622,55.180312930,1.196079,-0.507102
6,8,279936,1679615,979775,13.795078232,16,146,292,16,0.054794521,0.072489622,110.360625860,1.322936,-1.123069
6,8,279936,1679615,979775,13.795078232,32,304,608,32,0.052631579,0.072489622,220.721251719,1.377303,-1.818655
6,9,1679616,10077695,5878655,15.586838552,8,52,104,8,0.076923077,0.064156692,62.347354209,0.834037,0.514001
6,9,1679616,10077695,5878655,15.586838552,16,96,192,16,0.083333333,0.064156692,124.694708418,0.769880,1.049064
6,9,1679616,10077695,5878655,15.586838552,32,234,468,32,0.068376068,0.064156692,249.389416835,0.938292,0.360371
6,10,10077696,60466175,35271935,17.378598163,8,82,164,8,0.048780488,0.057542041,69.514392653,1.179612,-0.467746
6,10,10077696,60466175,35271935,17.378598163,16,154,308,16,0.051948052,0.057542041,139.028785306,1.107684,-0.409265
6,10,10077696,60466175,35271935,17.378598163,32,366,732,32,0.043715847,0.057542041,278.057570611,1.316274,-1.559429
6,11,60466176,199999999,130233087,18.684836380,8,70,140,8,0.057142857,0.053519334,74.739345520,0.936588,0.185327
6,11,60466176,199999999,130233087,18.684836380,16,146,292,16,0.054794521,0.053519334,149.478691039,0.976728,0.094191
6,11,60466176,199999999,130233087,18.684836380,32,340,680,32,0.047058824,0.053519334,298.957382078,1.137286,-0.728226
30,1,1,29,15,2.708050201,8,12,24,8,0.333333333,0.369269373,10.832200804,1.107808,-0.289710
30,1,1,29,15,2.708050201,16,38,76,16,0.210526316,0.369269373,21.664401609,1.754030,-2.277351
30,1,1,29,15,2.708050201,32,116,232,32,0.137931034,0.369269373,43.328803218,2.677203,-5.798557
30,2,30,899,464,6.139884552,8,23,46,8,0.173913043,0.162869512,24.559538209,0.936500,0.185595
30,2,30,899,464,6.139884552,16,45,90,17,0.188888889,0.162869512,49.119076418,0.916141,0.611643
30,2,30,899,464,6.139884552,32,105,210,33,0.157142857,0.162869512,98.238152836,1.068831,-0.205632
30,3,900,26999,13949,9.543163100,8,46,92,8,0.086956522,0.104787060,38.172652400,1.205051,-0.528329
30,3,900,26999,13949,9.543163100,16,72,144,16,0.111111111,0.104787060,76.345304801,0.943084,0.234435
30,3,900,26999,13949,9.543163100,32,158,316,32,0.101265823,0.104787060,152.690609601,1.034772,-0.193368
