space_size,prime_yield
1,2
2,3
3,8
4,5
5,8
6,5
7,4
8,10
9,12
10,9
11,16
12,8
13,8
14,6
15,8
16,6
17,5
18,4
19,12
20,4
21,14
22,8
23,10
24,5
25,7
26,9
27,8
28,1
29,11
30,9
31,9
32,9
33,9
34,6
35,6
36,5
37,9
38,8
39,8
40,8
41,9
42,9
43,10
44,8
45,6
46,9
47,9
48,11
49,7
50,8
51,8
52,10
53,8
54,7
55,14
56,9
57,9
58,10
59,7
60,7
61,6
62,10
63,7
64,6
65,8
66,8
67,8
68,10
69,7
70,8
71,8
72,8
73,10
74,11
75,8
76,8
77,10
78,13
79,12
80,4
81,6
82,12
83,9
84,10
85,6
86,10
87,10
88,6
89,6
90,13
91,11
92,11
93,8
94,6
95,10
96,16
97,9
98,5
99,6
100,8
101,18
102,6
103,9
104,16
105,8
106,11
107,13
108,11
109,8
110,10
111,9
112,6
113,10
114,13
115,8
116,11
117,11
118,11
119,15
120,8
121,13
122,10
123,5
124,9
125,6
126,10
127,10
128,3
129,11
130,7
131,11
132,13
133,10
134,6
135,9
136,5
137,9
138,14
139,9
140,7
141,13
142,10
143,8
144,13
145,7
146,5
147,9
148,8
149,12
150,9
151,6
152,8
153,9
154,9
155,4
156,15
157,9
158,8
159,12
160,15
161,12
162,11
163,10
164,5
165,6
166,7
167,8
168,14
169,7
170,10
171,11
172,7
173,8
174,9
175,10
176,5
177,4
178,8
179,11
180,13
181,5
182,11
183,6
184,6
185,6
186,10
187,9
188,7
189,7
190,6
191,8
192,7
193,6
194,13
195,11
196,10
197,10
198,10
199,10
200,8
