base,outer,inner,k_outer,k_inner,samples,successes,rate,confidence_lower,confidence_upper,is_coprime,z_score,p_value
3,2,1,0,0,1000,184,0.184000,0.161208,0.209210,true,0.16,0.050000
3,1,2,0,0,1000,181,0.181000,0.158372,0.206070,true,-0.09,0.050000
3,2,1,0,1,1000,161,0.161000,0.139524,0.185070,true,-1.72,0.050000
3,1,2,0,1,1000,159,0.159000,0.137646,0.182964,true,-1.89,0.050000
3,2,1,1,0,1000,158,0.158000,0.136707,0.181910,true,-1.97,0.050000
3,1,2,1,0,1000,157,0.157000,0.135769,0.180856,true,-2.05,0.050000
3,2,1,1,1,1000,138,0.138000,0.118004,0.160766,true,-3.61,0.050000
3,1,2,1,1,1000,131,0.131000,0.111492,0.153332,true,-4.18,0.050000
3,2,1,2,2,1000,115,0.115000,0.096683,0.136264,true,-5.49,0.050000
3,1,2,2,2,1000,114,0.114000,0.095761,0.135193,true,-5.58,0.050000
4,1,3,0,0,1000,230,0.230000,0.204979,0.257087,true,7.72,0.001000
4,3,1,0,0,1000,226,0.226000,0.201154,0.252943,true,7.36,0.001000
4,3,2,0,0,1000,225,0.225000,0.200199,0.251906,false,7.27,0.001000
4,1,2,0,0,1000,222,0.222000,0.197333,0.248795,false,7.00,0.001000
4,3,2,0,1,1000,195,0.195000,0.171630,0.220705,false,4.57,0.001000
4,3,2,1,0,1000,195,0.195000,0.171630,0.220705,false,4.57,0.001000
4,1,3,1,0,1000,193,0.193000,0.169733,0.218617,true,4.39,0.001000
4,1,2,0,1,1000,192,0.192000,0.168784,0.217573,false,4.30,0.001000
4,1,2,1,0,1000,191,0.191000,0.167837,0.216528,false,4.21,0.001000
4,3,1,0,1,1000,191,0.191000,0.167837,0.216528,true,4.21,0.001000
5,1,4,0,0,1000,137,0.137000,0.117073,0.159706,true,1.22,0.050000
5,4,2,0,0,1000,136,0.136000,0.116142,0.158644,true,1.12,0.050000
5,2,1,0,0,1000,135,0.135000,0.115211,0.157583,true,1.03,0.050000
5,3,1,0,0,1000,135,0.135000,0.115211,0.157583,true,1.03,0.050000
5,3,4,0,0,1000,135,0.135000,0.115211,0.157583,true,1.03,0.050000
5,2,4,0,0,1000,134,0.134000,0.114281,0.156521,true,0.93,0.050000
5,1,3,0,0,1000,133,0.133000,0.113351,0.155458,true,0.84,0.050000
5,2,3,0,0,1000,133,0.133000,0.113351,0.155458,true,0.84,0.050000
5,4,1,0,0,1000,132,0.132000,0.112421,0.154395,true,0.74,0.050000
5,1,2,0,0,1000,130,0.130000,0.110563,0.152268,true,0.55,0.050000
6,1,3,0,0,1000,311,0.311000,0.283078,0.340368,false,20.02,0.001000
6,1,5,0,0,1000,307,0.307000,0.279195,0.336282,true,19.62,0.001000
6,1,4,0,0,1000,306,0.306000,0.278225,0.335260,false,19.52,0.001000
6,1,2,0,0,1000,303,0.303000,0.275315,0.332193,false,19.22,0.001000
6,5,1,0,0,1000,302,0.302000,0.274345,0.331170,true,19.12,0.001000
6,5,2,0,0,1000,302,0.302000,0.274345,0.331170,false,19.12,0.001000
6,5,3,0,0,1000,300,0.300000,0.272406,0.329124,false,18.92,0.001000
6,5,4,0,0,1000,292,0.292000,0.264657,0.320935,false,18.11,0.001000
6,1,5,0,1,1000,266,0.266000,0.239546,0.294245,true,15.50,0.001000
6,1,3,1,0,1000,259,0.259000,0.232806,0.287039,false,14.80,0.001000
7,5,1,0,0,1000,127,0.127000,0.107780,0.149075,true,2.52,0.050000
7,2,4,0,0,1000,121,0.121000,0.102223,0.142677,true,1.90,0.050000
7,1,4,0,0,1000,120,0.120000,0.101299,0.141609,true,1.79,0.050000
7,6,2,0,0,1000,120,0.120000,0.101299,0.141609,true,1.79,0.050000
7,3,4,0,0,1000,119,0.119000,0.100375,0.140541,true,1.69,0.050000
7,4,6,0,0,1000,118,0.118000,0.099451,0.139473,true,1.58,0.050000
7,2,1,0,0,1000,117,0.117000,0.098528,0.138403,true,1.48,0.050000
7,2,3,0,0,1000,116,0.116000,0.097605,0.137334,true,1.38,0.050000
7,3,1,0,0,1000,116,0.116000,0.097605,0.137334,true,1.38,0.050000
7,1,3,0,0,1000,115,0.115000,0.096683,0.136264,true,1.27,0.050000
8,1,7,0,0,1000,199,0.199000,0.175427,0.224877,true,11.03,0.001000
8,3,1,0,0,1000,195,0.195000,0.171630,0.220705,true,10.60,0.001000
8,3,4,0,0,1000,195,0.195000,0.171630,0.220705,false,10.60,0.001000
8,5,2,0,0,1000,193,0.193000,0.169733,0.218617,false,10.38,0.001000
8,5,6,0,0,1000,193,0.193000,0.169733,0.218617,false,10.38,0.001000
8,1,4,0,0,1000,192,0.192000,0.168784,0.217573,false,10.28,0.001000
8,1,5,0,0,1000,191,0.191000,0.167837,0.216528,true,10.17,0.001000
8,3,2,0,0,1000,191,0.191000,0.167837,0.216528,false,10.17,0.001000
8,3,7,0,0,1000,190,0.190000,0.166889,0.215484,true,10.06,0.001000
8,1,2,0,0,1000,189,0.189000,0.165941,0.214439,false,9.96,0.001000
9,2,6,0,0,1000,148,0.148000,0.127339,0.171356,false,6.26,0.001000
9,1,5,0,0,1000,145,0.145000,0.124535,0.168183,true,5.93,0.001000
9,1,8,0,0,1000,143,0.143000,0.122667,0.166065,true,5.71,0.001000
9,5,4,0,0,1000,143,0.143000,0.122667,0.166065,true,5.71,0.001000
9,1,4,0,0,1000,142,0.142000,0.121734,0.165006,true,5.60,0.001000
9,4,6,0,0,1000,142,0.142000,0.121734,0.165006,false,5.60,0.001000
9,1,3,0,0,1000,141,0.141000,0.120801,0.163947,false,5.49,0.001000
9,2,4,0,0,1000,141,0.141000,0.120801,0.163947,true,5.49,0.001000
9,2,7,0,0,1000,141,0.141000,0.120801,0.163947,true,5.49,0.001000
9,1,7,0,0,1000,140,0.140000,0.119868,0.162887,true,5.38,0.001000
10,1,2,0,0,1000,233,0.233000,0.207850,0.260193,false,16.41,0.001000
10,1,7,0,0,1000,232,0.232000,0.206893,0.259158,true,16.30,0.001000
10,1,3,0,0,1000,231,0.231000,0.205936,0.258123,true,16.18,0.001000
10,3,2,0,0,1000,231,0.231000,0.205936,0.258123,false,16.18,0.001000
10,3,5,0,0,1000,231,0.231000,0.205936,0.258123,false,16.18,0.001000
10,1,8,0,0,1000,229,0.229000,0.204023,0.256051,false,15.96,0.001000
10,3,1,0,0,1000,227,0.227000,0.202110,0.253979,true,15.74,0.001000
10,3,9,0,0,1000,226,0.226000,0.201154,0.252943,true,15.62,0.001000
10,1,6,0,0,1000,225,0.225000,0.200199,0.251906,false,15.51,0.001000
10,3,6,0,0,1000,225,0.225000,0.200199,0.251906,false,15.51,0.001000
11,1,3,0,0,1000,108,0.108000,0.090241,0.128759,true,2.81,0.050000
11,5,1,0,0,1000,106,0.106000,0.088405,0.126611,true,2.58,0.050000
11,1,8,0,0,1000,103,0.103000,0.085655,0.123384,true,2.24,0.050000
11,2,3,0,0,1000,103,0.103000,0.085655,0.123384,true,2.24,0.050000
11,2,4,0,0,1000,102,0.102000,0.084739,0.122307,true,2.13,0.050000
11,4,1,0,0,1000,101,0.101000,0.083824,0.121230,true,2.01,0.050000
11,4,5,0,0,1000,101,0.101000,0.083824,0.121230,true,2.01,0.050000
11,9,3,0,0,1000,101,0.101000,0.083824,0.121230,true,2.01,0.050000
11,2,10,0,0,1000,100,0.100000,0.082909,0.120152,true,1.90,0.050000
11,3,8,0,0,1000,100,0.100000,0.082909,0.120152,true,1.90,0.050000
12,1,9,0,0,1000,270,0.270000,0.243402,0.298358,false,22.03,0.001000
12,1,5,0,0,1000,268,0.268000,0.241474,0.296302,true,21.80,0.001000
12,1,2,0,0,1000,266,0.266000,0.239546,0.294245,false,21.56,0.001000
12,1,7,0,0,1000,265,0.265000,0.238583,0.293216,true,21.45,0.001000
12,5,3,0,0,1000,265,0.265000,0.238583,0.293216,false,21.45,0.001000
12,1,10,0,0,1000,260,0.260000,0.233768,0.288069,false,20.87,0.001000
12,11,3,0,0,1000,256,0.256000,0.229920,0.283948,false,20.40,0.001000
12,5,11,0,0,1000,255,0.255000,0.228958,0.282917,true,20.29,0.001000
12,1,6,0,0,1000,254,0.254000,0.227997,0.281886,false,20.17,0.001000
12,1,8,0,0,1000,254,0.254000,0.227997,0.281886,false,20.17,0.001000
13,2,10,0,0,1000,104,0.104000,0.086571,0.124460,true,3.07,0.001000
13,1,12,0,0,1000,102,0.102000,0.084739,0.122307,true,2.83,0.050000
13,6,7,0,0,1000,100,0.100000,0.082909,0.120152,true,2.60,0.050000
13,6,8,0,0,1000,100,0.100000,0.082909,0.120152,true,2.60,0.050000
13,6,3,0,0,1000,99,0.099000,0.081995,0.119074,true,2.48,0.050000
13,1,7,0,0,1000,98,0.098000,0.081082,0.117995,true,2.36,0.050000
13,1,4,0,0,1000,97,0.097000,0.080169,0.116916,true,2.24,0.050000
13,2,7,0,0,1000,96,0.096000,0.079257,0.115836,true,2.13,0.050000
13,3,9,0,0,1000,96,0.096000,0.079257,0.115836,true,2.13,0.050000
13,1,9,0,0,1000,95,0.095000,0.078345,0.114755,true,2.01,0.050000
14,1,10,0,0,1000,211,0.211000,0.186841,0.237371,false,16.16,0.001000
14,1,9,0,0,1000,205,0.205000,0.181130,0.231128,true,15.44,0.001000
14,3,8,0,0,1000,199,0.199000,0.175427,0.224877,false,14.72,0.001000
14,1,7,0,0,1000,198,0.198000,0.174477,0.223834,false,14.60,0.001000
14,5,12,0,0,1000,198,0.198000,0.174477,0.223834,false,14.60,0.001000
14,1,3,0,0,1000,197,0.197000,0.173528,0.222791,true,14.48,0.001000
14,1,8,0,0,1000,195,0.195000,0.171630,0.220705,false,14.24,0.001000
14,1,4,0,0,1000,194,0.194000,0.170681,0.219661,false,14.13,0.001000
14,1,13,0,0,1000,194,0.194000,0.170681,0.219661,true,14.13,0.001000
14,1,2,0,0,1000,193,0.193000,0.169733,0.218617,false,14.01,0.001000
15,1,8,0,0,1000,165,0.165000,0.143284,0.189280,true,11.02,0.001000
15,1,13,0,0,1000,164,0.164000,0.142344,0.188228,true,10.90,0.001000
15,8,14,0,0,1000,163,0.163000,0.141404,0.187176,true,10.78,0.001000
15,4,9,0,0,1000,161,0.161000,0.139524,0.185070,false,10.54,0.001000
15,8,10,0,0,1000,160,0.160000,0.138585,0.184017,false,10.42,0.001000
15,2,1,0,0,1000,159,0.159000,0.137646,0.182964,true,10.30,0.001000
15,2,5,0,0,1000,159,0.159000,0.137646,0.182964,false,10.30,0.001000
15,2,11,0,0,1000,159,0.159000,0.137646,0.182964,true,10.30,0.001000
15,4,11,0,0,1000,159,0.159000,0.137646,0.182964,true,10.30,0.001000
15,1,9,0,0,1000,158,0.158000,0.136707,0.181910,false,10.17,0.001000
