base,M,outer,inner,k,samples,prime_count,density
6,5,1,5,0,100,21,0.210000
6,5,1,5,1,100,12,0.120000
6,5,5,1,0,100,14,0.140000
6,5,5,1,1,100,6,0.060000
6,6,1,5,0,100,14,0.140000
6,6,1,5,1,100,14,0.140000
6,6,5,1,0,100,15,0.150000
6,6,5,1,1,100,12,0.120000
6,7,1,5,0,100,15,0.150000
6,7,1,5,1,100,12,0.120000
6,7,5,1,0,100,13,0.130000
6,7,5,1,1,100,12,0.120000
6,8,1,5,0,100,15,0.150000
6,8,1,5,1,100,7,0.070000
6,8,5,1,0,100,15,0.150000
6,8,5,1,1,100,6,0.060000
6,9,1,5,0,100,9,0.090000
6,9,1,5,1,100,12,0.120000
6,9,5,1,0,100,18,0.180000
6,9,5,1,1,100,5,0.050000
6,10,1,5,0,100,10,0.100000
6,10,1,5,1,100,6,0.060000
6,10,5,1,0,100,15,0.150000
6,10,5,1,1,100,10,0.100000
10,5,1,3,0,100,15,0.150000
10,5,1,3,1,100,11,0.110000
10,5,1,7,0,100,15,0.150000
10,5,1,7,1,100,10,0.100000
10,5,1,9,0,100,8,0.080000
10,5,1,9,1,100,13,0.130000
10,5,3,1,0,100,16,0.160000
10,5,3,1,1,100,10,0.100000
10,5,3,7,0,100,11,0.110000
10,5,3,7,1,100,4,0.040000
10,6,1,3,0,100,12,0.120000
10,6,1,3,1,100,9,0.090000
10,6,1,7,0,100,11,0.110000
10,6,1,7,1,100,11,0.110000
10,6,1,9,0,100,11,0.110000
10,6,1,9,1,100,6,0.060000
10,6,3,1,0,100,8,0.080000
10,6,3,1,1,100,6,0.060000
10,6,3,7,0,100,13,0.130000
10,6,3,7,1,100,10,0.100000
10,7,1,3,0,100,9,0.090000
10,7,1,3,1,100,7,0.070000
10,7,1,7,0,100,16,0.160000
10,7,1,7,1,100,4,0.040000
10,7,1,9,0,100,13,0.130000
10,7,1,9,1,100,6,0.060000
10,7,3,1,0,100,5,0.050000
10,7,3,1,1,100,8,0.080000
