base,factorization,base_type,outer,inner,k_outer,k_inner,is_breathing,successes,total,success_rate,coprime_score,p_value,example_prime
6,2×3,highly_composite,1,5,0,0,false,33,100,0.3300,1.0000,0.6029,2551
6,2×3,highly_composite,1,5,1,0,true,26,100,0.2600,1.0000,0.5174,54181
6,2×3,highly_composite,5,1,0,1,true,26,100,0.2600,1.0000,0.5174,241067
6,2×3,highly_composite,1,5,0,1,true,23,100,0.2300,1.0000,0.6495,85999
6,2×3,highly_composite,1,5,0,2,true,23,100,0.2300,1.0000,0.5145,3081919
6,2×3,highly_composite,5,1,1,0,true,22,100,0.2200,1.0000,0.6996,234833
6,2×3,highly_composite,5,1,0,0,false,21,100,0.2100,1.0000,0.8980,6779
6,2×3,highly_composite,5,1,2,0,true,19,100,0.1900,1.0000,0.7101,8406077
6,2×3,highly_composite,1,5,1,2,true,18,100,0.1800,1.0000,0.6686,68879989
6,2×3,highly_composite,1,5,2,0,true,17,100,0.1700,1.0000,0.7978,1724761
6,2×3,highly_composite,5,1,1,2,true,17,100,0.1700,1.0000,0.7207,304018313
6,2×3,highly_composite,1,5,1,1,false,16,100,0.1600,1.0000,0.8336,11489221
6,2×3,highly_composite,5,1,2,2,false,15,100,0.1500,1.0000,0.7566,10894036253
6,2×3,highly_composite,1,5,2,2,false,12,100,0.1200,1.0000,0.8689,2227358521
6,2×3,highly_composite,1,5,2,1,true,11,100,0.1100,1.0000,0.9187,61905817
6,2×3,highly_composite,5,1,2,1,true,11,100,0.1100,1.0000,0.9187,302681021
6,2×3,highly_composite,5,1,1,1,false,8,100,0.0800,1.0000,0.9712,8446073
6,2×3,highly_composite,5,1,0,2,true,6,100,0.0600,1.0000,0.9820,8678027
8,2×2×2,prime_power,3,5,0,0,false,23,100,0.2300,1.0000,0.8511,14891
8,2×2×2,prime_power,7,5,0,0,false,22,100,0.2200,1.0000,0.8765,31663
8,2×2×2,prime_power,1,5,0,0,false,21,100,0.2100,1.0000,0.8980,6761
8,2×2×2,prime_power,3,5,1,0,true,20,100,0.2000,1.0000,0.7864,808771
8,2×2×2,prime_power,7,1,0,0,false,19,100,0.1900,1.0000,0.9313,29327
8,2×2×2,prime_power,7,1,1,0,true,19,100,0.1900,1.0000,0.8223,1840711
8,2×2×2,prime_power,5,3,0,0,false,19,100,0.1900,1.0000,0.9313,22109
8,2×2×2,prime_power,1,7,0,0,false,19,100,0.1900,1.0000,0.9313,7993
8,2×2×2,prime_power,7,3,0,0,false,18,100,0.1800,1.0000,0.9439,30367
8,2×2×2,prime_power,7,1,0,2,true,18,100,0.1800,1.0000,0.7566,956342287
8,2×2×2,prime_power,3,7,0,0,false,18,100,0.1800,1.0000,0.9439,16187
8,2×2×2,prime_power,7,1,1,1,false,17,100,0.1700,1.0000,0.7978,117702727
8,2×2×2,prime_power,3,7,1,0,true,17,100,0.1700,1.0000,0.8797,817603
8,2×2×2,prime_power,5,7,0,0,false,17,100,0.1700,1.0000,0.9543,24317
8,2×2×2,prime_power,3,5,0,1,true,16,100,0.1600,1.0000,0.9019,951851
8,2×2×2,prime_power,5,3,0,1,true,16,100,0.1600,1.0000,0.9019,1409053
8,2×2×2,prime_power,1,3,0,0,false,16,100,0.1600,1.0000,0.9629,5657
8,2×2×2,prime_power,7,3,1,0,true,15,100,0.1500,1.0000,0.9204,14787271
8,2×2×2,prime_power,3,1,0,0,false,15,100,0.1500,1.0000,0.9699,13003
8,2×2×2,prime_power,5,7,0,1,true,15,100,0.1500,1.0000,0.9204,1540157
10,2×5,regular,1,9,0,0,false,22,100,0.2200,1.0000,0.8765,19391
10,2×5,regular,3,1,0,1,true,22,100,0.2200,1.0000,0.6996,3103013
10,2×5,regular,9,3,0,0,false,22,100,0.2200,1.0000,0.8765,93139
10,2×5,regular,7,1,0,0,false,22,100,0.2200,1.0000,0.8765,71317
10,2×5,regular,3,7,0,0,false,21,100,0.2100,1.0000,0.8980,37273
10,2×5,regular,1,9,1,0,true,20,100,0.2000,1.0000,0.7864,1092901
10,2×5,regular,1,3,0,0,false,19,100,0.1900,1.0000,0.9313,13331
10,2×5,regular,9,1,0,0,false,18,100,0.1800,1.0000,0.9439,91019
10,2×5,regular,9,7,0,1,true,18,100,0.1800,1.0000,0.8533,9700079
10,2×5,regular,7,9,0,0,false,18,100,0.1800,1.0000,0.9439,79397
10,2×5,regular,1,9,0,2,true,17,100,0.1700,1.0000,0.7978,190000091
10,2×5,regular,3,1,0,0,false,17,100,0.1700,1.0000,0.9543,31013
10,2×5,regular,3,9,0,0,false,17,100,0.1700,1.0000,0.9543,39293
10,2×5,regular,3,9,1,0,true,17,100,0.1700,1.0000,0.8797,3091903
10,2×5,regular,9,7,0,0,false,17,100,0.1700,1.0000,0.9543,97379
10,2×5,regular,7,3,0,0,false,17,100,0.1700,1.0000,0.9543,73037
10,2×5,regular,7,3,1,0,true,17,100,0.1700,1.0000,0.8797,7035307
10,2×5,regular,1,7,1,0,true,16,100,0.1600,1.0000,0.9019,1074701
10,2×5,regular,9,7,1,0,true,16,100,0.1600,1.0000,0.9019,9073709
10,2×5,regular,1,9,0,1,true,15,100,0.1500,1.0000,0.9204,1903091
12,2×2×3,highly_composite,1,11,0,0,false,26,100,0.2600,1.0000,0.7493,39877
12,2×2×3,highly_composite,11,7,0,0,false,26,100,0.2600,1.0000,0.7493,240287
12,2×2×3,highly_composite,5,11,0,0,false,24,100,0.2400,1.0000,0.8216,123113
12,2×2×3,highly_composite,1,5,0,0,false,24,100,0.2400,1.0000,0.8216,29437
12,2×2×3,highly_composite,5,1,0,0,false,23,100,0.2300,1.0000,0.8511,106433
12,2×2×3,highly_composite,1,7,0,0,false,23,100,0.2300,1.0000,0.8511,32917
12,2×2×3,highly_composite,1,11,0,1,true,23,100,0.2300,1.0000,0.6495,5723269
12,2×2×3,highly_composite,7,5,0,0,false,22,100,0.2200,1.0000,0.8765,154291
12,2×2×3,highly_composite,5,11,1,0,true,22,100,0.2200,1.0000,0.6996,15166517
12,2×2×3,highly_composite,7,5,1,0,true,21,100,0.2100,1.0000,0.7454,21008023
12,2×2×3,highly_composite,7,11,0,0,false,21,100,0.2100,1.0000,0.8980,164299
12,2×2×3,highly_composite,5,7,0,0,false,21,100,0.2100,1.0000,0.8980,116009
12,2×2×3,highly_composite,7,1,0,0,false,19,100,0.1900,1.0000,0.9313,147331
12,2×2×3,highly_composite,11,5,0,1,true,19,100,0.1900,1.0000,0.8223,34102151
12,2×2×3,highly_composite,5,11,0,1,true,18,100,0.1800,1.0000,0.8533,17672393
12,2×2×3,highly_composite,1,7,2,0,true,18,100,0.1800,1.0000,0.7566,431777089
12,2×2×3,highly_composite,1,5,0,1,true,18,100,0.1800,1.0000,0.8533,4233661
12,2×2×3,highly_composite,1,5,1,0,true,18,100,0.1800,1.0000,0.8533,3093841
12,2×2×3,highly_composite,11,1,0,1,true,18,100,0.1800,1.0000,0.8533,33096407
12,2×2×3,highly_composite,5,1,2,0,true,17,100,0.1700,1.0000,0.7978,2150304197
14,2×7,regular,1,3,0,0,false,25,100,0.2500,1.0000,0.7877,46691
14,2×7,regular,5,13,0,0,false,22,100,0.2200,1.0000,0.8765,228331
14,2×7,regular,1,5,0,0,false,22,100,0.2200,1.0000,0.8765,733111
14,2×7,regular,9,11,0,1,true,21,100,0.2100,1.0000,0.7454,73682051
14,2×7,regular,11,9,0,0,false,19,100,0.1900,1.0000,0.9313,447409
14,2×7,regular,9,13,0,0,false,19,100,0.1900,1.0000,0.9313,381607
14,2×7,regular,5,11,0,0,false,18,100,0.1800,1.0000,0.9439,222619
14,2×7,regular,1,3,1,0,true,18,100,0.1800,1.0000,0.8533,7661837
