base,outer,inner,k_outer,k_inner,middle_length,total_padding,total_digits,total_tested,primes_found,composites_found,density,mean_gap,std_gap,min_gap,max_gap,gap_ratio,relative_std,elapsed_ms,examples
10,3,7,0,0,1,0,3,10,2,8,0.20000000,300.0000,0.0000,300,300,1.0000,0.0000,0,"37273;37573"
10,3,7,0,1,1,2,5,10,2,8,0.20000000,1000.0000,0.0000,1000,1000,1.0000,0.0000,0,"3708073;3709073"
10,3,7,0,2,1,4,7,10,2,8,0.20000000,40000.0000,0.0000,40000,40000,1.0000,0.0000,0,"370050073;370090073"
10,3,7,0,3,1,6,9,10,2,8,0.20000000,500000.0000,0.0000,500000,500000,1.0000,0.0000,0,"37000000073;37000500073"
10,3,7,1,0,1,2,5,10,3,7,0.30000000,1500.0000,500.0000,1000,2000,2.0000,0.3333,0,"3072703;3073703;3075703"
10,3,7,1,1,1,4,7,10,1,9,0.10000000,0.0000,0.0000,0,0,0.0000,0.0000,0,"307050703"
10,3,7,1,2,1,6,9,10,2,8,0.20000000,300000.0000,0.0000,300000,300000,1.0000,0.0000,0,"30700500703;30700800703"
10,3,7,1,3,1,8,11,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,2,0,1,4,7,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,2,1,1,6,9,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,2,2,1,8,11,10,1,9,0.10000000,0.0000,0.0000,0,0,0.0000,0.0000,0,"3007003007003"
10,3,7,2,3,1,10,13,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,3,0,1,6,9,10,1,9,0.10000000,0.0000,0.0000,0,0,0.0000,0.0000,0,"30007570003"
10,3,7,3,1,1,8,11,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,3,2,1,10,13,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,3,3,1,12,15,10,0,10,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
10,3,7,0,0,2,0,4,100,22,78,0.22000000,438.0952,324.3693,100,1200,12.0000,0.7404,0,"370373;370673;370873;371573;371873"
10,3,7,0,1,2,2,6,100,14,86,0.14000000,5769.2308,3377.6151,1000,11000,11.0000,0.5855,0,"37008073;37009073;37020073;37024073;37030073"
10,3,7,0,2,2,4,8,100,13,87,0.13000000,75000.0000,49916.5971,10000,160000,16.0000,0.6656,0,"3700050073;3700060073;3700090073;3700150073;3700200073"
10,3,7,0,3,2,6,10,100,6,94,0.06000000,1500000.0000,1404279.1745,100000,4200000,42.0000,0.9362,0,"370001700073;370002900073;370003800073;370003900073;370008100073"
10,3,7,1,0,2,2,6,100,12,88,0.12000000,7636.3636,5313.3233,1000,21000,21.0000,0.6958,0,"30709703;30715703;30717703;30718703;30727703"
10,3,7,1,1,2,4,8,100,12,88,0.12000000,82727.2727,58479.3529,10000,200000,20.0000,0.7069,0,"3070050703;3070060703;3070090703;3070290703;3070390703"
10,3,7,1,2,2,6,10,100,6,94,0.06000000,1680000.0000,649307.3232,600000,2500000,4.1667,0.3865,0,"307000600703;307002700703;307004500703;307005900703;307008400703"
10,3,7,1,3,2,8,12,100,8,92,0.08000000,12857142.8571,9920088.8739,2000000,34000000,17.0000,0.7716,0,"30700008000703;30700024000703;30700038000703;30700041000703;30700053000703"
10,3,7,2,0,2,4,8,100,11,89,0.11000000,80000.0000,76941.5362,10000,220000,22.0000,0.9618,0,"3007127003;3007207003;3007237003;3007457003;3007487003"
10,3,7,2,1,2,6,10,100,11,89,0.11000000,780000.0000,769155.3809,100000,2800000,28.0000,0.9861,0,"300702007003;300702107003;300702407003;300703207003;300703507003"
