MVP Parameter Sweep: Base-6 (1, 5)
M,k_outer,k_inner,k_total,density,primes_found
1,0,0,0,0.166667,1
1,0,1,1,0.166667,1
1,0,2,2,0.333333,2
1,1,0,1,0.166667,1
1,1,1,2,0.000000,0
1,1,2,3,0.166667,1
1,2,0,2,0.166667,1
1,2,1,3,0.166667,1
1,2,2,4,0.166667,1
2,0,0,0,0.277778,10
2,0,1,1,0.222222,8
2,0,2,2,0.138889,5
2,1,0,1,0.222222,8
2,1,1,2,0.138889,5
2,1,2,3,0.138889,5
2,2,0,2,0.111111,4
2,2,1,3,0.138889,5
2,2,2,4,0.138889,5
3,0,0,0,0.268519,58
3,0,1,1,0.231481,50
3,0,2,2,0.143519,31
3,1,0,1,0.231481,50
3,1,1,2,0.162037,35
3,1,2,3,0.120370,26
3,2,0,2,0.194444,42
3,2,1,3,0.143519,31
3,2,2,4,0.143519,31
4,0,0,0,0.223765,290
4,0,1,1,0.183642,238
4,0,2,2,0.145833,189
4,1,0,1,0.182870,237
4,1,1,2,0.158951,206
4,1,2,3,0.141204,183
4,2,0,2,0.138889,180
4,2,1,3,0.130401,169
4,2,2,4,0.114969,149
