seed,symmetry_index,is_prime,membrane_decimal,membrane_digits,perfect_palindrome,zero_run_count,max_zero_run
10,0.800,0,3070100703,3070100703,false,4,2
11,1.000,0,3070110703,3070110703,true,4,1
12,0.800,0,3070120703,3070120703,false,4,1
13,0.800,0,3070130703,3070130703,false,4,1
14,0.800,0,3070140703,3070140703,false,4,1
15,0.800,0,3070150703,3070150703,false,4,1
16,0.800,0,3070160703,3070160703,false,4,1
17,0.800,0,3070170703,3070170703,false,4,1
18,0.800,0,3070180703,3070180703,false,4,1
19,0.800,0,3070190703,3070190703,false,4,1
20,0.800,0,3070200703,3070200703,false,4,2
21,0.800,0,3070210703,3070210703,false,4,1
22,1.000,0,3070220703,3070220703,true,4,1
23,0.800,0,3070230703,3070230703,false,4,1
24,0.800,0,3070240703,3070240703,false,4,1
25,0.800,0,3070250703,3070250703,false,4,1
26,0.800,0,3070260703,3070260703,false,4,1
27,0.800,0,3070270703,3070270703,false,4,1
28,0.800,0,3070280703,3070280703,false,4,1
29,0.800,1,3070290703,3070290703,false,4,1
30,0.800,0,3070300703,3070300703,false,4,2
31,0.800,0,3070310703,3070310703,false,4,1
32,0.800,0,3070320703,3070320703,false,4,1
33,1.000,0,3070330703,3070330703,true,4,1
34,0.800,0,3070340703,3070340703,false,4,1
35,0.800,0,3070350703,3070350703,false,4,1
36,0.800,0,3070360703,3070360703,false,4,1
37,0.800,0,3070370703,3070370703,false,4,1
38,0.800,0,3070380703,3070380703,false,4,1
39,0.800,1,3070390703,3070390703,false,4,1
40,0.800,0,3070400703,3070400703,false,4,2
41,0.800,0,3070410703,3070410703,false,4,1
42,0.800,0,3070420703,3070420703,false,4,1
43,0.800,0,3070430703,3070430703,false,4,1
44,1.000,0,3070440703,3070440703,true,4,1
45,0.800,0,3070450703,3070450703,false,4,1
46,0.800,0,3070460703,3070460703,false,4,1
47,0.800,0,3070470703,3070470703,false,4,1
48,0.800,0,3070480703,3070480703,false,4,1
49,0.800,0,3070490703,3070490703,false,4,1
50,0.800,1,3070500703,3070500703,false,4,2
51,0.800,0,3070510703,3070510703,false,4,1
52,0.800,0,3070520703,3070520703,false,4,1
53,0.800,0,3070530703,3070530703,false,4,1
54,0.800,1,3070540703,3070540703,false,4,1
55,1.000,0,3070550703,3070550703,true,4,1
56,0.800,0,3070560703,3070560703,false,4,1
57,0.800,0,3070570703,3070570703,false,4,1
58,0.800,0,3070580703,3070580703,false,4,1
59,0.800,0,3070590703,3070590703,false,4,1
60,0.800,1,3070600703,3070600703,false,4,2
61,0.800,0,3070610703,3070610703,false,4,1
62,0.800,0,3070620703,3070620703,false,4,1
63,0.800,0,3070630703,3070630703,false,4,1
64,0.800,0,3070640703,3070640703,false,4,1
65,0.800,0,3070650703,3070650703,false,4,1
66,1.000,0,3070660703,3070660703,true,4,1
67,0.800,0,3070670703,3070670703,false,4,1
68,0.800,0,3070680703,3070680703,false,4,1
69,0.800,0,3070690703,3070690703,false,4,1
70,0.800,0,3070700703,3070700703,false,4,2
71,0.800,0,3070710703,3070710703,false,4,1
72,0.800,0,3070720703,3070720703,false,4,1
73,0.800,0,3070730703,3070730703,false,4,1
74,0.800,0,3070740703,3070740703,false,4,1
75,0.800,1,3070750703,3070750703,false,4,1
76,0.800,0,3070760703,3070760703,false,4,1
77,1.000,0,3070770703,3070770703,true,4,1
78,0.800,0,3070780703,3070780703,false,4,1
79,0.800,0,3070790703,3070790703,false,4,1
80,0.800,0,3070800703,3070800703,false,4,2
81,0.800,0,3070810703,3070810703,false,4,1
82,0.800,0,3070820703,3070820703,false,4,1
83,0.800,0,3070830703,3070830703,false,4,1
84,0.800,0,3070840703,3070840703,false,4,1
85,0.800,0,3070850703,3070850703,false,4,1
86,0.800,0,3070860703,3070860703,false,4,1
87,0.800,0,3070870703,3070870703,false,4,1
88,1.000,0,3070880703,3070880703,true,4,1
89,0.800,1,3070890703,3070890703,false,4,1
90,0.800,0,3070900703,3070900703,false,4,2
91,0.800,0,3070910703,3070910703,false,4,1
92,0.800,0,3070920703,3070920703,false,4,1
93,0.800,1,3070930703,3070930703,false,4,1
94,0.800,0,3070940703,3070940703,false,4,1
95,0.800,0,3070950703,3070950703,false,4,1
96,0.800,1,3070960703,3070960703,false,4,1
97,0.800,0,3070970703,3070970703,false,4,1
98,0.800,0,3070980703,3070980703,false,4,1
99,1.000,0,3070990703,3070990703,true,4,1
