config_desc,base,outer,inner,m,k,total_seeds,perfect_sq_count,perfect_sq_primes,non_perf_sq_count,non_perf_sq_primes,violation_count
"Base 6 champion",6,1,5,1,0,5,1,0,4,1,0
"Base 6 champion",6,1,5,2,0,30,0,0,30,8,0
"Base 6 champion",6,1,5,3,0,180,0,0,180,47,0
"Base 6 inverted",6,5,1,1,0,5,0,0,5,1,0
"Base 6 inverted",6,5,1,2,0,30,2,0,28,5,0
"Base 6 inverted",6,5,1,3,0,180,0,0,180,44,0
"Base 10 standard",10,3,7,1,0,9,1,0,8,2,0
"Base 10 standard",10,3,7,2,0,90,1,0,89,19,0
"Base 10 standard",10,3,7,3,0,900,0,0,900,157,0
"Base 10 minimal",10,1,3,1,0,9,1,0,8,3,0
"Base 10 minimal",10,1,3,2,0,90,0,0,90,16,0
"Base 10 minimal",10,1,3,3,0,900,0,0,900,145,0
"Base 12 universal",12,1,5,1,0,11,1,0,10,2,0
"Base 12 universal",12,1,5,2,0,132,0,0,132,29,0
"Base 12 universal",12,1,5,3,0,1584,0,0,1584,323,0
"Base 12 variant",12,5,7,1,0,11,1,0,10,2,0
"Base 12 variant",12,5,7,2,0,132,1,0,131,27,0
"Base 12 variant",12,5,7,3,0,1584,0,0,1584,274,0
"Base 14 high performer",14,1,5,1,0,13,1,0,12,2,0
"Base 14 high performer",14,1,5,2,0,182,0,0,182,38,0
"Base 14 high performer",14,1,5,3,0,2548,0,0,2548,357,0
"Base 15 odd base",15,1,7,1,0,14,1,0,13,2,0
"Base 15 odd base",15,1,7,2,0,210,0,0,210,32,0
"Base 15 odd base",15,1,7,3,0,3150,0,0,3150,359,0
"Base 18 universal",18,1,5,1,0,17,1,0,16,3,0
"Base 18 universal",18,1,5,2,0,306,0,0,306,72,0
"Base 18 universal",18,1,5,3,0,5508,0,0,5508,932,0
"Base 22 large base",22,1,3,1,0,21,1,0,20,3,0
"Base 22 large base",22,1,3,2,0,462,0,0,462,70,0
"Base 22 large base",22,1,3,3,0,10000,0,0,10000,1182,0
"Base 30 champion",30,11,7,1,0,29,1,0,28,10,0
"Base 30 champion",30,11,7,2,0,870,1,0,869,168,0
"Base 30 champion",30,11,7,3,0,10000,0,0,10000,1645,0
