base,M,outer,inner,k,seed,prime_count,total_candidates,density,discriminant,is_perfect_square,sqrt_disc,disc_mod_base,qr_mod3,qr_mod5,qr_mod7,qr_mod11,goldbach_count,goldbach_lambda,goldbach_coverage,is_2p_base,midpoint,symmetric_pair_count,phase_locked
10,2,3,7,0,11,0,1,0.000000,85,false,-1,5,1,0,1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,11,0,1,0.000000,85,false,-1,5,1,0,1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,13,0,1,0.000000,133,false,-1,3,1,-1,0,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,13,0,1,0.000000,133,false,-1,3,1,-1,0,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,17,0,1,0.000000,253,false,-1,3,1,-1,1,0,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,17,0,1,0.000000,253,false,-1,3,1,-1,1,0,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,19,0,1,0.000000,325,false,-1,5,1,0,-1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,19,0,1,0.000000,325,false,-1,5,1,0,-1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,23,0,1,0.000000,493,false,-1,3,1,-1,-1,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,23,0,1,0.000000,493,false,-1,3,1,-1,-1,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,29,0,1,0.000000,805,false,-1,5,1,0,0,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,29,0,1,0.000000,805,false,-1,5,1,0,0,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,31,0,1,0.000000,925,false,-1,5,1,0,1,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,31,0,1,0.000000,925,false,-1,5,1,0,1,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,37,0,1,0.000000,1333,false,-1,3,1,-1,-1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,37,0,1,0.000000,1333,false,-1,3,1,-1,-1,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,41,0,1,0.000000,1645,false,-1,5,1,0,0,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,41,0,1,0.000000,1645,false,-1,5,1,0,0,-1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,0,43,0,1,0.000000,1813,false,-1,3,1,-1,0,1,0,0.000000,0.000000,true,5,2,true
10,2,3,7,1,43,0,1,0.000000,1813,false,-1,3,1,-1,0,1,0,0.000000,0.000000,true,5,2,true
