base,M,outer,inner,k,total_candidates,prime_count,density,midpoint,phi_base,tau_base,rad_base,outer_gcd,inner_gcd,outer_is_prime,inner_is_prime,min_length,max_length
6,1,1,5,0,5,1,0.200000,3.0,2,4,6,1,1,false,true,5,5
6,1,1,5,1,5,0,0.000000,3.0,2,4,6,1,1,false,true,9,9
6,1,1,5,2,5,1,0.200000,3.0,2,4,6,1,1,false,true,13,13
6,1,1,5,3,5,0,0.000000,3.0,2,4,6,1,1,false,true,17,17
6,1,5,1,0,5,1,0.200000,3.0,2,4,6,1,1,true,false,5,5
6,1,5,1,1,5,1,0.200000,3.0,2,4,6,1,1,true,false,9,9
6,1,5,1,2,5,2,0.400000,3.0,2,4,6,1,1,true,false,13,13
6,1,5,1,3,5,0,0.000000,3.0,2,4,6,1,1,true,false,17,17
6,2,1,5,0,30,8,0.266667,3.0,2,4,6,1,1,false,true,6,6
6,2,1,5,1,30,5,0.166667,3.0,2,4,6,1,1,false,true,10,10
6,2,1,5,2,30,5,0.166667,3.0,2,4,6,1,1,false,true,14,14
6,2,1,5,3,30,1,0.033333,3.0,2,4,6,1,1,false,true,18,18
6,2,5,1,0,30,5,0.166667,3.0,2,4,6,1,1,true,false,6,6
6,2,5,1,1,30,2,0.066667,3.0,2,4,6,1,1,true,false,10,10
6,2,5,1,2,30,5,0.166667,3.0,2,4,6,1,1,true,false,14,14
6,2,5,1,3,30,2,0.066667,3.0,2,4,6,1,1,true,false,18,18
6,3,1,5,0,180,47,0.261111,3.0,2,4,6,1,1,false,true,7,7
6,3,1,5,1,180,26,0.144444,3.0,2,4,6,1,1,false,true,11,11
6,3,1,5,2,180,24,0.133333,3.0,2,4,6,1,1,false,true,15,15
6,3,1,5,3,180,23,0.127778,3.0,2,4,6,1,1,false,true,19,19
6,3,5,1,0,180,44,0.244444,3.0,2,4,6,1,1,true,false,7,7
6,3,5,1,1,180,29,0.161111,3.0,2,4,6,1,1,true,false,11,11
6,3,5,1,2,180,19,0.105556,3.0,2,4,6,1,1,true,false,15,15
6,3,5,1,3,180,13,0.072222,3.0,2,4,6,1,1,true,false,19,19
8,1,1,3,0,7,1,0.142857,4.0,4,4,2,1,1,false,true,5,5
8,1,1,3,1,7,0,0.000000,4.0,4,4,2,1,1,false,true,9,9
8,1,1,3,2,7,1,0.142857,4.0,4,4,2,1,1,false,true,13,13
8,1,1,3,3,7,0,0.000000,4.0,4,4,2,1,1,false,true,17,17
8,1,1,5,0,7,1,0.142857,4.0,4,4,2,1,1,false,true,5,5
8,1,1,5,1,7,1,0.142857,4.0,4,4,2,1,1,false,true,9,9
8,1,1,5,2,7,2,0.285714,4.0,4,4,2,1,1,false,true,13,13
8,1,1,5,3,7,0,0.000000,4.0,4,4,2,1,1,false,true,17,17
8,1,1,7,0,7,1,0.142857,4.0,4,4,2,1,1,false,true,5,5
8,1,1,7,1,7,1,0.142857,4.0,4,4,2,1,1,false,true,9,9
8,1,1,7,2,7,0,0.000000,4.0,4,4,2,1,1,false,true,13,13
8,1,1,7,3,7,0,0.000000,4.0,4,4,2,1,1,false,true,17,17
8,1,3,1,0,7,2,0.285714,4.0,4,4,2,1,1,true,false,5,5
8,1,3,1,1,7,0,0.000000,4.0,4,4,2,1,1,true,false,9,9
8,1,3,1,2,7,2,0.285714,4.0,4,4,2,1,1,true,false,13,13
8,1,3,1,3,7,0,0.000000,4.0,4,4,2,1,1,true,false,17,17
8,1,3,5,0,7,1,0.142857,4.0,4,4,2,1,1,true,true,5,5
8,1,3,5,1,7,1,0.142857,4.0,4,4,2,1,1,true,true,9,9
8,1,3,5,2,7,0,0.000000,4.0,4,4,2,1,1,true,true,13,13
8,1,3,5,3,7,1,0.142857,4.0,4,4,2,1,1,true,true,17,17
8,1,3,7,0,7,1,0.142857,4.0,4,4,2,1,1,true,true,5,5
8,1,3,7,1,7,0,0.000000,4.0,4,4,2,1,1,true,true,9,9
8,1,3,7,2,7,1,0.142857,4.0,4,4,2,1,1,true,true,13,13
8,1,3,7,3,7,0,0.000000,4.0,4,4,2,1,1,true,true,17,17
8,1,5,1,0,7,0,0.000000,4.0,4,4,2,1,1,true,false,5,5
8,1,5,1,1,7,1,0.142857,4.0,4,4,2,1,1,true,false,9,9
8,1,5,1,2,7,0,0.000000,4.0,4,4,2,1,1,true,false,13,13
8,1,5,1,3,7,1,0.142857,4.0,4,4,2,1,1,true,false,17,17
8,1,5,3,0,7,1,0.142857,4.0,4,4,2,1,1,true,true,5,5
8,1,5,3,1,7,0,0.000000,4.0,4,4,2,1,1,true,true,9,9
8,1,5,3,2,7,0,0.000000,4.0,4,4,2,1,1,true,true,13,13
8,1,5,3,3,7,1,0.142857,4.0,4,4,2,1,1,true,true,17,17
8,1,5,7,0,7,2,0.285714,4.0,4,4,2,1,1,true,true,5,5
8,1,5,7,1,7,1,0.142857,4.0,4,4,2,1,1,true,true,9,9
8,1,5,7,2,7,0,0.000000,4.0,4,4,2,1,1,true,true,13,13
8,1,5,7,3,7,0,0.000000,4.0,4,4,2,1,1,true,true,17,17
8,1,7,1,0,7,1,0.142857,4.0,4,4,2,1,1,true,false,5,5
8,1,7,1,1,7,1,0.142857,4.0,4,4,2,1,1,true,false,9,9
8,1,7,1,2,7,0,0.000000,4.0,4,4,2,1,1,true,false,13,13
8,1,7,1,3,7,0,0.000000,4.0,4,4,2,1,1,true,false,17,17
