pattern,base,total_len,mid_len,inner_zero,samples,primes,prime_density,ci_lo,ci_hi,expected_density_pnt_cond,enrichment_factor,elapsed_ms,tracked_moduli,divisible_counts
"mid=free:1|layers=[0:1,0:1]|base=10",10,5,1,0,100000,23253,0.23253000,0.22592612,0.23915443,0.24127471,0.96375620,765,[],[]
"mid=free:2|layers=[0:1,0:1]|base=10",10,6,2,0,100000,19162,0.19162000,0.18508646,0.19817724,0.19740658,0.97068698,440,[],[]
"mid=free:3|layers=[0:1,0:1]|base=10",10,7,3,0,100000,16297,0.16297000,0.15649204,0.16947385,0.16703634,0.97565596,765,[],[]
"mid=free:4|layers=[0:1,0:1]|base=10",10,8,4,0,100000,14234,0.14234000,0.13590538,0.14880210,0.14476483,0.98324989,765,[],[]
"mid=free:5|layers=[0:1,0:1]|base=10",10,9,5,0,100000,12650,0.12650000,0.12010058,0.13292812,0.12773367,0.99034185,765,[],[]
"mid=free:6|layers=[0:1,0:1]|base=10",10,10,6,0,100000,11124,0.11124000,0.10487609,0.11763378,0.11428802,0.97333035,720,[],[]
"mid=free:7|layers=[0:1,0:1]|base=10",10,11,7,0,100000,10168,0.10168000,0.09533916,0.10805145,0.10340345,0.98333278,765,[],[]
"mid=free:8|layers=[0:1,0:1]|base=10",10,12,8,0,100000,9292,0.09292000,0.08660085,0.09927043,0.09441184,0.98419855,765,[],[]
"mid=free:9|layers=[0:1,0:1]|base=10",10,13,9,0,100000,8430,0.08430000,0.07800272,0.09062922,0.08685890,0.97053962,765,[],[]
"mid=free:10|layers=[0:1,0:1]|base=10",10,14,10,0,100000,7844,0.07844000,0.07215789,0.08475450,0.08042490,0.97531978,765,[],[]
"mid=free:11|layers=[0:1,0:1]|base=10",10,15,11,0,100000,7471,0.07471000,0.06843767,0.08101500,0.07487836,0.99775157,765,[],[]
"mid=free:12|layers=[0:1,0:1]|base=10",10,16,12,0,100000,6900,0.06900000,0.06274284,0.07529027,0.07004750,0.98504590,766,[],[]
