base,outer,inner,M,k,seed,membrane_value,is_prime,discriminant,delta_factors,legendre_3,legendre_5,legendre_7,legendre_11
15,13,1,1,0,"(1,)",661753,False,-675,,0,0,1,-1
15,13,1,1,0,"(2,)",661978,False,-672,,0,-1,0,-1
15,13,1,1,0,"(3,)",662203,True,-667,,-1,-1,-1,1
15,13,1,1,0,"(6,)",662878,False,-640,,-1,0,1,1
15,13,1,1,0,"(10,)",663778,False,-576,,0,1,-1,-1
15,13,1,1,0,"(12,)",664228,False,-532,,-1,-1,0,-1
15,13,1,1,0,"(13,)",664453,False,-507,,0,-1,1,-1
15,13,1,1,1,"(2,)",33329070238,False,-672,,0,-1,0,-1
15,13,1,1,1,"(3,)",33329120863,False,-667,,-1,-1,-1,1
15,13,1,1,1,"(4,)",33329171488,False,-660,,0,0,-1,0
15,13,1,1,1,"(6,)",33329272738,False,-640,,-1,0,1,1
15,13,1,1,1,"(8,)",33329373988,False,-612,,0,-1,1,1
15,13,1,1,1,"(10,)",33329475238,False,-576,,0,1,-1,-1
15,13,1,1,1,"(11,)",33329525863,False,-555,,0,0,-1,-1
15,13,1,1,1,"(13,)",33329627113,True,-507,,0,-1,1,-1
15,13,1,1,2,"(2,)",1686740858722138,False,-672,,0,-1,0,-1
15,13,1,1,2,"(3,)",1686740870112763,False,-667,,-1,-1,-1,1
15,13,1,1,2,"(4,)",1686740881503388,False,-660,,0,0,-1,0
15,13,1,1,2,"(8,)",1686740927065888,False,-612,,0,-1,1,1
15,13,1,1,2,"(9,)",1686740938456513,True,-595,,-1,0,0,-1
15,13,1,1,2,"(10,)",1686740949847138,False,-576,,0,1,-1,-1
15,13,1,1,2,"(11,)",1686740961237763,False,-555,,0,0,-1,-1
15,13,1,1,3,"(2,)",85389438375731300638,False,-672,,0,-1,0,-1
15,13,1,1,3,"(3,)",85389438378294191263,False,-667,,-1,-1,-1,1
15,13,1,1,3,"(4,)",85389438380857081888,False,-660,,0,0,-1,0
15,13,1,1,3,"(5,)",85389438383419972513,False,-651,,0,1,0,1
15,13,1,1,3,"(6,)",85389438385982863138,False,-640,,-1,0,1,1
15,13,1,1,3,"(8,)",85389438391108644388,False,-612,,0,-1,1,1
15,13,1,1,3,"(11,)",85389438398797316263,False,-555,,0,0,-1,-1
